types	BD_immune01	Zilionis_Klein_2019_p2t1	Zilionis_Klein_2019_p2t2	Maynard_Bivona_2020_LT_S74	P20_T2	Wu_Zhou_2021_GSM4453603	Wu_Zhou_2021_GSM4453607	Wu_Zhou_2021_GSM4453608	Wu_Zhou_2021_GSM4453610	Wu_Zhou_2021_GSM4453611	Wu_Zhou_2021_GSM4453612	Wu_Zhou_2021_GSM4453613	P23_T1	Wu_Zhou_2021_GSM4453579	Wu_Zhou_2021_GSM4453580	Wu_Zhou_2021_GSM4453582	Wu_Zhou_2021_GSM4453583	Wu_Zhou_2021_GSM4453599	Chen_Zhang_2020_NSCLC-8	Wu_Zhou_2021_GSM4453601	Wu_Zhou_2021_GSM4453602	Maynard_Bivona_2020_LT_S01	Maynard_Bivona_2020_LT_S11	Maynard_Bivona_2020_LT_S52	Maynard_Bivona_2020_LT_S57	Maynard_Bivona_2020_LT_S58	Maynard_Bivona_2020_LT_S67	Wu_Zhou_2021_GSM4453584	Wu_Zhou_2021_GSM4453587	Wu_Zhou_2021_GSM4453588	Zilionis_Klein_2019_p5t1	Maynard_Bivona_2020_LT_S71	Wu_Zhou_2021_GSM4453614	BD_immune12	BD_immune13	BD_immune15	Zilionis_Klein_2019_p7t1	Zilionis_Klein_2019_p7t2
NK cell	139.0	0.0	2.0	28.0	18.0	0.0	2.0	0.0	0.0	0.0	4.0	26.0	300.0	3.0	0.0	35.0	0.0	2.0	621.0	4.0	4.0	0.0	0.0	0.0	19.0	4.0	0.0	2.0	10.0	2.0	0.0	5.0	2.0	88.0	70.0	371.0	17.0	16.0
NK cell dividing	5.0	0.0	0.0	2.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	0.0	0.0
Neutrophils	2000.0	7.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	590.0	0.0	0.0	10.0	0.0	6.0	4.0	7.0	2.0	98.0	118.0	0.0	0.0	12.0	90.0	0.0	27.0	0.0	0.0	0.0	0.0	2.0	2.0	1899.0	1574.0	1444.0	362.0	229.0
Pericyte	9.0	0.0	0.0	91.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	196.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	24.0	0.0	0.0	49.0	3.0	5.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	6.0
Plasma cell	233.0	25.0	27.0	169.0	630.0	93.0	6.0	0.0	2.0	3.0	24.0	5.0	27.0	311.0	69.0	565.0	72.0	52.0	17.0	6.0	3.0	0.0	10.0	40.0	26.0	49.0	0.0	132.0	50.0	85.0	80.0	106.0	155.0	201.0	41.0	14.0	80.0	93.0
Plasma cell dividing	0.0	0.0	0.0	2.0	21.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	8.0	2.0	0.0	0.0	0.0
Smooth muscle cell	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	14.0	4.0	0.0	5.0	2.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	2.0	0.0
T cell CD4	72.0	25.0	19.0	65.0	53.0	21.0	61.0	0.0	10.0	0.0	3.0	30.0	1341.0	10.0	4.0	101.0	27.0	26.0	1085.0	22.0	13.0	0.0	3.0	0.0	62.0	74.0	0.0	4.0	5.0	28.0	70.0	46.0	32.0	361.0	504.0	438.0	103.0	73.0
T cell CD4 dividing	4.0	0.0	0.0	0.0	50.0	3.0	0.0	0.0	0.0	0.0	0.0	8.0	39.0	78.0	8.0	50.0	8.0	2.0	28.0	0.0	2.0	0.0	0.0	0.0	0.0	14.0	0.0	10.0	4.0	4.0	0.0	3.0	27.0	50.0	48.0	25.0	0.0	7.0
T cell CD8 activated	176.0	3.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	4.0	2.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	9.0	13.0	69.0	51.0	98.0	20.0	16.0
T cell CD8 dividing	2.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	59.0	0.0	29.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	3.0	32.0	0.0	7.0	0.0	0.0	0.0	0.0	3.0	48.0	16.0	14.0	0.0	0.0
T cell CD8 effector memory	212.0	5.0	0.0	60.0	8.0	7.0	9.0	0.0	0.0	0.0	10.0	15.0	353.0	20.0	0.0	245.0	5.0	17.0	531.0	3.0	7.0	0.0	3.0	0.0	37.0	17.0	0.0	0.0	8.0	5.0	2.0	54.0	42.0	402.0	275.0	338.0	30.0	31.0
T cell CD8 naive	11.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0	20.0	0.0	0.0	6.0	4.0	5.0	11.0	3.0	0.0	0.0	0.0	0.0	8.0	10.0	0.0	0.0	0.0	0.0	0.0	7.0	8.0	3.0	3.0	3.0	0.0	0.0
T cell CD8 terminally exhausted	2.0	0.0	0.0	8.0	4.0	4.0	0.0	0.0	0.0	0.0	8.0	5.0	26.0	40.0	0.0	118.0	0.0	0.0	136.0	0.0	7.0	0.0	0.0	0.0	4.0	4.0	0.0	3.0	0.0	0.0	0.0	5.0	4.0	194.0	134.0	26.0	0.0	0.0
T cell NK-like	27.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	19.0	30.0	0.0	0.0	12.0	2.0	2.0	63.0	3.0	5.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	4.0	6.0	16.0	110.0	0.0	0.0
T cell regulatory	31.0	12.0	11.0	14.0	90.0	13.0	4.0	0.0	2.0	0.0	2.0	12.0	288.0	41.0	0.0	151.0	7.0	5.0	322.0	8.0	7.0	0.0	3.0	0.0	5.0	9.0	0.0	7.0	5.0	28.0	8.0	16.0	35.0	232.0	232.0	96.0	35.0	35.0
Tumor AT2/1_LUAD	5.0	0.0	0.0	6.0	47.0	20.0	0.0	0.0	19.0	0.0	0.0	22.0	12.0	2.0	56.0	95.0	221.0	0.0	181.0	0.0	0.0	2.0	0.0	5.0	288.0	27.0	0.0	11.0	299.0	0.0	2.0	55.0	181.0	42.0	33.0	378.0	34.0	37.0
Tumor Club/AT2_MSLN	0.0	0.0	0.0	0.0	2.0	8.0	138.0	77.0	498.0	0.0	0.0	24.0	2483.0	0.0	411.0	0.0	4.0	11.0	2813.0	0.0	0.0	2.0	136.0	4.0	170.0	57.0	2.0	93.0	7.0	7.0	150.0	95.0	36.0	3.0	0.0	13.0	2.0	4.0
Tumor LUAD_EMT	0.0	2.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	2.0	8.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUAD_LUSC_mitotic	469.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUAD_MSLN_LUSC	7.0	0.0	0.0	41.0	12.0	176.0	24.0	50.0	9.0	3.0	6.0	70.0	192.0	2.0	365.0	0.0	132.0	11.0	362.0	0.0	2.0	0.0	0.0	10.0	6.0	2.0	0.0	158.0	18.0	84.0	102.0	4.0	159.0	335.0	0.0	4.0	3.0	3.0
Tumor LUAD_ROS1+	3.0	2.0	2.0	8.0	23.0	83.0	48.0	16.0	0.0	30.0	0.0	45.0	113.0	16.0	77.0	6.0	15.0	0.0	44.0	14.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	104.0	3.0	25.0	4.0	0.0	27.0	10.0	0.0	2.0	6.0	12.0
Tumor LUAD_mitotic	0.0	0.0	0.0	2.0	0.0	20.0	9.0	38.0	6.0	0.0	0.0	8.0	58.0	0.0	203.0	0.0	10.0	48.0	444.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1141.0	5.0	5.0	5.0	2.0	74.0	4.0	0.0	3.0	205.0	201.0
Tumor LUSC_LUAD_NE	66.0	21.0	21.0	0.0	610.0	50.0	0.0	0.0	0.0	44.0	2.0	0.0	11.0	314.0	0.0	32.0	0.0	4.0	4.0	9.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	22.0	15.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0
Tumor LUSC_mitotic_NE	44.0	8.0	0.0	0.0	78.0	17.0	0.0	4.0	0.0	41.0	0.0	0.0	7.0	232.0	2.0	33.0	14.0	8.0	7.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	7.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0
Tumor NSCLC_mixed	99.0	0.0	0.0	0.0	2.0	37.0	0.0	0.0	0.0	8.0	0.0	0.0	3.0	33.0	0.0	4.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0
cDC1	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	11.0	0.0	0.0	10.0	4.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	16.0	4.0	6.0	0.0	0.0	2.0
cDC2	0.0	0.0	2.0	4.0	42.0	42.0	13.0	0.0	13.0	0.0	28.0	56.0	3086.0	48.0	12.0	32.0	20.0	3.0	1128.0	0.0	3.0	0.0	0.0	5.0	8.0	44.0	0.0	43.0	36.0	65.0	25.0	18.0	159.0	28.0	104.0	45.0	36.0	26.0
myeloid dividing	23.0	0.0	0.0	7.0	39.0	77.0	5.0	3.0	0.0	2.0	17.0	13.0	1030.0	74.0	115.0	18.0	9.0	10.0	212.0	0.0	0.0	0.0	0.0	5.0	3.0	8.0	0.0	18.0	9.0	15.0	8.0	0.0	154.0	22.0	5.0	321.0	3.0	3.0
pDC	0.0	0.0	0.0	2.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	10.0	0.0	0.0	20.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	2.0	13.0	0.0	6.0	2.0	11.0	39.0	16.0	2.0	24.0	31.0
stromal dividing	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
AT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B cell	36.0	14.0	7.0	32.0	79.0	2.0	24.0	0.0	5.0	2.0	0.0	8.0	71.0	0.0	2.0	112.0	57.0	5.0	147.0	19.0	0.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	51.0	139.0	88.0	47.0	20.0	1193.0	111.0	361.0	39.0	37.0
B cell dividing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	2.0	2.0	15.0	0.0	0.0	0.0	0.0
Ciliated	0.0	0.0	0.0	0.0	37.0	0.0	20.0	0.0	2.0	0.0	0.0	4.0	677.0	0.0	8.0	5.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	54.0	0.0	200.0	0.0	0.0
DC mature	0.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	52.0	0.0	0.0	22.0	4.0	2.0	31.0	0.0	2.0	0.0	0.0	0.0	3.0	9.0	0.0	8.0	3.0	24.0	0.0	0.0	3.0	3.0	10.0	10.0	3.0	6.0
Endothelial cell arterial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell capillary	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	3.0	0.0	15.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell lymphatic	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell venous	12.0	0.0	0.0	13.0	13.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	47.0	15.0	5.0	2.0	0.0	18.0	0.0	0.0	0.0	2.0	0.0	17.0	9.0	0.0	224.0	13.0	2.0	19.0	62.0	3.0	0.0	2.0	6.0	16.0	17.0
Fibroblast adventitial	0.0	0.0	3.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	50.0	0.0	2.0	3.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	3.0	0.0	0.0
Fibroblast alveolar	0.0	0.0	0.0	0.0	4.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	26.0	0.0	0.0	0.0	0.0	2.0	3.0	4.0	115.0	0.0	0.0	0.0	3.0	0.0	0.0	59.0	0.0	0.0	0.0	4.0	0.0	2.0
Fibroblast peribronchial	12.0	0.0	2.0	10.0	73.0	68.0	0.0	0.0	0.0	3.0	4.0	0.0	13.0	837.0	5.0	23.0	4.0	3.0	3.0	8.0	0.0	6.0	0.0	3.0	20.0	2.0	0.0	307.0	13.0	11.0	10.0	41.0	0.0	0.0	5.0	3.0	9.0	6.0
Macrophage	766.0	9.0	9.0	38.0	220.0	607.0	32.0	24.0	45.0	22.0	1039.0	401.0	8289.0	1004.0	290.0	272.0	273.0	36.0	2117.0	8.0	40.0	6.0	3.0	59.0	63.0	60.0	4.0	146.0	42.0	172.0	133.0	34.0	238.0	567.0	2641.0	2214.0	297.0	369.0
Macrophage alveolar	6.0	0.0	5.0	0.0	48.0	50.0	3.0	0.0	9.0	6.0	53.0	26.0	9400.0	13.0	15.0	9.0	20.0	8.0	1523.0	0.0	13.0	0.0	0.0	0.0	8.0	3.0	2.0	6.0	8.0	16.0	93.0	0.0	47.0	14.0	17.0	1201.0	203.0	201.0
Mast cell	45.0	2.0	4.0	12.0	13.0	89.0	7.0	2.0	56.0	0.0	19.0	28.0	42.0	18.0	0.0	76.0	74.0	31.0	178.0	8.0	5.0	3.0	6.0	21.0	63.0	52.0	0.0	10.0	41.0	13.0	8.0	74.0	16.0	67.0	12.0	50.0	72.0	71.0
Mesothelial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Monocyte classical	222.0	13.0	6.0	27.0	400.0	94.0	6.0	0.0	6.0	54.0	110.0	196.0	4204.0	59.0	109.0	185.0	24.0	8.0	247.0	3.0	38.0	0.0	0.0	10.0	67.0	186.0	4.0	13.0	18.0	34.0	69.0	27.0	37.0	207.0	813.0	259.0	217.0	242.0
Monocyte non-classical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	17.0	17.0	0.0	0.0	7.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	2.0	18.0	0.0	0.0
NK cell	139.0	0.0	2.0	28.0	18.0	0.0	2.0	0.0	0.0	0.0	4.0	26.0	300.0	3.0	0.0	35.0	0.0	2.0	621.0	4.0	4.0	0.0	0.0	0.0	19.0	4.0	0.0	2.0	10.0	2.0	0.0	5.0	2.0	88.0	70.0	371.0	17.0	16.0
NK cell dividing	5.0	0.0	0.0	2.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	7.0	0.0	0.0
Neutrophils	2000.0	7.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	590.0	0.0	0.0	10.0	0.0	6.0	4.0	7.0	2.0	98.0	118.0	0.0	0.0	12.0	90.0	0.0	27.0	0.0	0.0	0.0	0.0	2.0	2.0	1899.0	1574.0	1444.0	362.0	229.0
Pericyte	9.0	0.0	0.0	91.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	196.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	24.0	0.0	0.0	49.0	3.0	5.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	6.0
Plasma cell	233.0	25.0	27.0	169.0	630.0	93.0	6.0	0.0	2.0	3.0	24.0	5.0	27.0	311.0	69.0	565.0	72.0	52.0	17.0	6.0	3.0	0.0	10.0	40.0	26.0	49.0	0.0	132.0	50.0	85.0	80.0	106.0	155.0	201.0	41.0	14.0	80.0	93.0
Plasma cell dividing	0.0	0.0	0.0	2.0	21.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	8.0	2.0	0.0	0.0	0.0
Smooth muscle cell	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	14.0	4.0	0.0	5.0	2.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	2.0	0.0
T cell CD4	72.0	25.0	19.0	65.0	53.0	21.0	61.0	0.0	10.0	0.0	3.0	30.0	1341.0	10.0	4.0	101.0	27.0	26.0	1085.0	22.0	13.0	0.0	3.0	0.0	62.0	74.0	0.0	4.0	5.0	28.0	70.0	46.0	32.0	361.0	504.0	438.0	103.0	73.0
T cell CD4 dividing	4.0	0.0	0.0	0.0	50.0	3.0	0.0	0.0	0.0	0.0	0.0	8.0	39.0	78.0	8.0	50.0	8.0	2.0	28.0	0.0	2.0	0.0	0.0	0.0	0.0	14.0	0.0	10.0	4.0	4.0	0.0	3.0	27.0	50.0	48.0	25.0	0.0	7.0
T cell CD8 activated	176.0	3.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	4.0	2.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	9.0	13.0	69.0	51.0	98.0	20.0	16.0
T cell CD8 dividing	2.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	59.0	0.0	29.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	3.0	32.0	0.0	7.0	0.0	0.0	0.0	0.0	3.0	48.0	16.0	14.0	0.0	0.0
