cell_type,gene,score,rank_type
Tumor LUSC_LUAD_NE,CD74,0.34945759651167,bottom
Tumor LUSC_LUAD_NE,ARHGDIB,0.3508411222129988,bottom
Tumor LUSC_LUAD_NE,HLA-A,0.3563391663037201,bottom
Tumor LUSC_LUAD_NE,VIM,0.3567687165869422,bottom
Tumor LUSC_LUAD_NE,HLA-DPA1,0.3576920611281598,bottom
Tumor LUSC_mitotic_NE,H2AFZ,0.6927949544962612,top
Tumor LUSC_mitotic_NE,JPT1,0.6842840202867524,top
Tumor LUSC_mitotic_NE,KRT18,0.683864460622413,top
Tumor LUSC_mitotic_NE,TAGLN2,0.6794371032187814,top
Tumor LUSC_mitotic_NE,PPIA,0.67922713677199,top
Tumor LUSC_mitotic_NE,KRT8,0.6753371019291801,top
Tumor LUSC_mitotic_NE,CKS1B,0.6748236472990569,top
Tumor LUSC_mitotic_NE,HMGB3,0.6741246963411244,top
Tumor LUSC_mitotic_NE,PERP,0.6686572188641878,top
Tumor LUSC_mitotic_NE,S100A11,0.6684277560814036,top
Tumor LUSC_mitotic_NE,B2M,0.30769477732709616,bottom
Tumor LUSC_mitotic_NE,HLA-B,0.31471762426359084,bottom
Tumor LUSC_mitotic_NE,SRGN,0.3160401428366472,bottom
Tumor LUSC_mitotic_NE,MALAT1,0.3339224913074007,bottom
Tumor LUSC_mitotic_NE,HLA-C,0.3357469165977069,bottom
Tumor LUSC_mitotic_NE,MTND1P23,0.34172255457532325,bottom
Tumor LUSC_mitotic_NE,BTG2,0.3424073702797203,bottom
Tumor LUSC_mitotic_NE,VIM,0.34658009326439865,bottom
Tumor LUSC_mitotic_NE,HLA-E,0.3484929057355979,bottom
Tumor LUSC_mitotic_NE,DUSP1,0.3519640839719925,bottom
Tumor NSCLC_mixed,TACSTD2,0.7945948214276546,top
Tumor NSCLC_mixed,FAM129B,0.7665565980107752,top
Tumor NSCLC_mixed,ARF1,0.7662835180755692,top
Tumor NSCLC_mixed,CLDN4,0.7484153762780371,top
Tumor NSCLC_mixed,ELF3,0.7467929605730594,top
Tumor NSCLC_mixed,RAC1,0.7467233213841109,top
Tumor NSCLC_mixed,H3F3B,0.744458144575316,top
Tumor NSCLC_mixed,KRT19,0.7442771825747071,top
Tumor NSCLC_mixed,PERP,0.7424908647920191,top
Tumor NSCLC_mixed,LCN2,0.7413413256026556,top
Tumor NSCLC_mixed,SEPTIN2,0.21173485207658557,bottom
Tumor NSCLC_mixed,VIM,0.28371722150187584,bottom
Tumor NSCLC_mixed,TASOR2,0.29217237978427424,bottom
Tumor NSCLC_mixed,GET3,0.32665552806479553,bottom
Tumor NSCLC_mixed,CELF2,0.334163192845625,bottom
Tumor NSCLC_mixed,SLC66A2,0.34911317839039413,bottom
Tumor NSCLC_mixed,MSN,0.35734049020232694,bottom
Tumor NSCLC_mixed,CERT1,0.3573639028988498,bottom
Tumor NSCLC_mixed,SRGN,0.3590804450175104,bottom
Tumor NSCLC_mixed,CD52,0.35913190602393963,bottom
