cell_type_tumor,sample,0
Alveolar cell type 1,Guo_Zhang_2018_P1219_TTY,0
Alveolar cell type 1,He_Fan_2021_LUAD1,7
Alveolar cell type 1,He_Fan_2021_LUAD2,20
Alveolar cell type 1,He_Fan_2021_LUAD3,10
Alveolar cell type 1,He_Fan_2021_LUAD4,18
Alveolar cell type 1,He_Fan_2021_LUAD5,1
Alveolar cell type 1,Kim_Lee_2020_LUNG_T06,6
Alveolar cell type 1,Kim_Lee_2020_LUNG_T08,0
Alveolar cell type 1,Kim_Lee_2020_LUNG_T09,1
Alveolar cell type 1,Kim_Lee_2020_LUNG_T18,0
Alveolar cell type 1,Kim_Lee_2020_LUNG_T19,10
Alveolar cell type 1,Kim_Lee_2020_LUNG_T20,0
Alveolar cell type 1,Kim_Lee_2020_LUNG_T25,3
Alveolar cell type 1,Kim_Lee_2020_LUNG_T30,20
Alveolar cell type 1,Kim_Lee_2020_LUNG_T34,14
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT1A,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT1B,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT1C,1
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT2A,1
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT2B,4
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT1249,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1295,2
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1296,1
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1297,28
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1298,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1299,5
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1300,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_BT1375,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_BT1376,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_BT1377,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,19
Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,11
Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,7
Alveolar cell type 1,Laughney_Massague_2020_GSM3516662,0
Alveolar cell type 1,Laughney_Massague_2020_GSM3516663,0
Alveolar cell type 1,Laughney_Massague_2020_GSM3516667,0
Alveolar cell type 1,Laughney_Massague_2020_GSM3516669,0
Alveolar cell type 1,Laughney_Massague_2020_GSM3516670,0
Alveolar cell type 1,Laughney_Massague_2020_GSM3516672,0
Alveolar cell type 1,Laughney_Massague_2020_GSM3516674,1
Alveolar cell type 1,Leader_Merad_2021_311,0
Alveolar cell type 1,Leader_Merad_2021_313,2
Alveolar cell type 1,Leader_Merad_2021_317,9
Alveolar cell type 1,Leader_Merad_2021_318,11
Alveolar cell type 1,Leader_Merad_2021_324,13
Alveolar cell type 1,Leader_Merad_2021_326,0
Alveolar cell type 1,Leader_Merad_2021_328,2
Alveolar cell type 1,Leader_Merad_2021_332,1
Alveolar cell type 1,Leader_Merad_2021_334,2
Alveolar cell type 1,Leader_Merad_2021_336,0
Alveolar cell type 1,Leader_Merad_2021_340,3
Alveolar cell type 1,Leader_Merad_2021_342,0
Alveolar cell type 1,Leader_Merad_2021_38,5
Alveolar cell type 1,Leader_Merad_2021_40,7
Alveolar cell type 1,Leader_Merad_2021_42,0
Alveolar cell type 1,Leader_Merad_2021_43,10
Alveolar cell type 1,Leader_Merad_2021_45,0
Alveolar cell type 1,Leader_Merad_2021_47,10
Alveolar cell type 1,Leader_Merad_2021_48,1
Alveolar cell type 1,Leader_Merad_2021_51,1
Alveolar cell type 1,Leader_Merad_2021_52,0
Alveolar cell type 1,Leader_Merad_2021_53,0
Alveolar cell type 1,Leader_Merad_2021_57,2
Alveolar cell type 1,Leader_Merad_2021_58,0
Alveolar cell type 1,Leader_Merad_2021_59,0
Alveolar cell type 1,Leader_Merad_2021_62,0
Alveolar cell type 1,Leader_Merad_2021_95,0
Alveolar cell type 1,Leader_Merad_2021_97,0
Alveolar cell type 1,Leader_Merad_2021_99,1
Alveolar cell type 1,Leader_Merad_2021_103,0
Alveolar cell type 1,Leader_Merad_2021_107,2
Alveolar cell type 1,Leader_Merad_2021_111,1
Alveolar cell type 1,Leader_Merad_2021_116,0
Alveolar cell type 1,Leader_Merad_2021_297,0
Alveolar cell type 1,Leader_Merad_2021_298,0
Alveolar cell type 1,Leader_Merad_2021_344,5
Alveolar cell type 1,Leader_Merad_2021_398,0
Alveolar cell type 1,Leader_Merad_2021_414,0
Alveolar cell type 1,Leader_Merad_2021_415,20
Alveolar cell type 1,Leader_Merad_2021_448,3
Alveolar cell type 1,Leader_Merad_2021_452,1
Alveolar cell type 1,Leader_Merad_2021_456,2
Alveolar cell type 1,Leader_Merad_2021_460,6
Alveolar cell type 1,Leader_Merad_2021_464,3
Alveolar cell type 1,Leader_Merad_2021_468,1
Alveolar cell type 1,Leader_Merad_2021_472,1
Alveolar cell type 1,Leader_Merad_2021_481,2
Alveolar cell type 1,Leader_Merad_2021_851,11
Alveolar cell type 1,Maynard_Bivona_2020_LT_S66,2
Alveolar cell type 1,UKIM-V-2_P4_tumor_primary,0
Alveolar cell type 1,UKIM-V-2_P5_tumor_primary,0
Alveolar cell type 1,UKIM-V-2_P6_tumor_primary,1
Alveolar cell type 1,UKIM-V-2_P8_tumor_primary,0
Alveolar cell type 1,UKIM-V-2_P9_tumor_primary,0
Alveolar cell type 1,UKIM-V-2_P10_tumor_primary,5
Alveolar cell type 1,UKIM-V-2_P13_tumor_primary,11
Alveolar cell type 1,UKIM-V-2_P14_tumor_primary,3
Alveolar cell type 1,UKIM-V-2_P16_tumor_primary,5
Alveolar cell type 1,UKIM-V-2_P17_tumor_primary,0
Alveolar cell type 1,UKIM-V_P1_tumor_primary,2
Alveolar cell type 1,UKIM-V_P2_tumor_primary,2
Alveolar cell type 1,UKIM-V_P3_tumor_primary,6
Alveolar cell type 1,Zilionis_Klein_2019_p1t1,0
Alveolar cell type 1,Zilionis_Klein_2019_p1t2,0
Alveolar cell type 1,Zilionis_Klein_2019_p1t3,0
Alveolar cell type 1,Zilionis_Klein_2019_p1t4,1
Alveolar cell type 1,Zilionis_Klein_2019_p4t1,0
Alveolar cell type 1,Zilionis_Klein_2019_p4t2,1
Alveolar cell type 1,Zilionis_Klein_2019_p4t3,1
Alveolar cell type 1,Zilionis_Klein_2019_p6t1,0
Alveolar cell type 1,Zilionis_Klein_2019_p6t2,0
Alveolar cell type 2,Chen_Zhang_2020_NSCLC-1,0
Alveolar cell type 2,Chen_Zhang_2020_NSCLC-2,3
Alveolar cell type 2,Chen_Zhang_2020_NSCLC-3,1
Alveolar cell type 2,Chen_Zhang_2020_NSCLC-6,135
Alveolar cell type 2,Chen_Zhang_2020_NSCLC-7,0
Alveolar cell type 2,Chen_Zhang_2020_NSCLC-11,23
Alveolar cell type 2,Goveia_Carmeliet_2020_patient_32_tumor_primary,15
Alveolar cell type 2,Goveia_Carmeliet_2020_patient_40_tumor_primary,94
Alveolar cell type 2,Goveia_Carmeliet_2020_patient_41_tumor_primary,112
Alveolar cell type 2,Goveia_Carmeliet_2020_patient_42_tumor_primary,0
Alveolar cell type 2,Goveia_Carmeliet_2020_patient_45_tumor_primary,22
Alveolar cell type 2,Goveia_Carmeliet_2020_patient_46_tumor_primary,265
Alveolar cell type 2,Goveia_Carmeliet_2020_patient_50_tumor_primary,472
Alveolar cell type 2,Guo_Zhang_2018_P0616A_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P0616A_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P0616A_TTR,0
Alveolar cell type 2,Guo_Zhang_2018_P0616A_TTY,0
Alveolar cell type 2,Guo_Zhang_2018_P0616P_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P0616P_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P0706_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P0706_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P0706_TTR,0
Alveolar cell type 2,Guo_Zhang_2018_P0706_TTY,0
Alveolar cell type 2,Guo_Zhang_2018_P1010_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P1010_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P1010_TTR,0
Alveolar cell type 2,Guo_Zhang_2018_P1010_TTY,0
Alveolar cell type 2,Guo_Zhang_2018_P1118_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P1118_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P1120_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P1120_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P1120_TTR,0
Alveolar cell type 2,Guo_Zhang_2018_P1120_TTY,0
Alveolar cell type 2,Guo_Zhang_2018_P1202_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P1202_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P1202_TTR,0
Alveolar cell type 2,Guo_Zhang_2018_P1202_TTY,0
Alveolar cell type 2,Guo_Zhang_2018_P1208_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P1208_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P1219_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P1219_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P1219_TTY,0
Alveolar cell type 2,He_Fan_2021_LUAD1,51
Alveolar cell type 2,He_Fan_2021_LUAD2,38
Alveolar cell type 2,He_Fan_2021_LUAD3,19
Alveolar cell type 2,He_Fan_2021_LUAD4,427
Alveolar cell type 2,He_Fan_2021_LUAD5,72
Alveolar cell type 2,Kim_Lee_2020_LUNG_T06,26
Alveolar cell type 2,Kim_Lee_2020_LUNG_T08,13
Alveolar cell type 2,Kim_Lee_2020_LUNG_T09,72
Alveolar cell type 2,Kim_Lee_2020_LUNG_T18,0
Alveolar cell type 2,Kim_Lee_2020_LUNG_T19,104
Alveolar cell type 2,Kim_Lee_2020_LUNG_T20,51
Alveolar cell type 2,Kim_Lee_2020_LUNG_T25,60
Alveolar cell type 2,Kim_Lee_2020_LUNG_T30,295
Alveolar cell type 2,Kim_Lee_2020_LUNG_T34,89
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT1A,2
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT1B,0
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT1C,3
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT2A,3
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT2B,26
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT1249,0
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1295,4
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1296,18
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1297,18
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1298,1
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1299,10
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1300,17
Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_BT1375,11
Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_BT1376,3
Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_BT1377,8
Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,15
Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,28
Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,21
Alveolar cell type 2,Laughney_Massague_2020_GSM3516662,10
Alveolar cell type 2,Laughney_Massague_2020_GSM3516663,12
Alveolar cell type 2,Laughney_Massague_2020_GSM3516667,0
Alveolar cell type 2,Laughney_Massague_2020_GSM3516669,2
Alveolar cell type 2,Laughney_Massague_2020_GSM3516670,1
Alveolar cell type 2,Laughney_Massague_2020_GSM3516672,1
Alveolar cell type 2,Laughney_Massague_2020_GSM3516674,24
Alveolar cell type 2,Leader_Merad_2021_311,4
Alveolar cell type 2,Leader_Merad_2021_313,38
Alveolar cell type 2,Leader_Merad_2021_317,29
Alveolar cell type 2,Leader_Merad_2021_318,39
Alveolar cell type 2,Leader_Merad_2021_324,19
Alveolar cell type 2,Leader_Merad_2021_326,0
Alveolar cell type 2,Leader_Merad_2021_328,17
Alveolar cell type 2,Leader_Merad_2021_332,0
Alveolar cell type 2,Leader_Merad_2021_334,0
Alveolar cell type 2,Leader_Merad_2021_336,0
Alveolar cell type 2,Leader_Merad_2021_340,13
Alveolar cell type 2,Leader_Merad_2021_342,0
Alveolar cell type 2,Leader_Merad_2021_38,17
Alveolar cell type 2,Leader_Merad_2021_40,20
Alveolar cell type 2,Leader_Merad_2021_42,9
Alveolar cell type 2,Leader_Merad_2021_43,20
Alveolar cell type 2,Leader_Merad_2021_45,16
Alveolar cell type 2,Leader_Merad_2021_47,73
Alveolar cell type 2,Leader_Merad_2021_48,24
Alveolar cell type 2,Leader_Merad_2021_51,13
Alveolar cell type 2,Leader_Merad_2021_52,0
Alveolar cell type 2,Leader_Merad_2021_53,0
Alveolar cell type 2,Leader_Merad_2021_57,50
Alveolar cell type 2,Leader_Merad_2021_58,0
Alveolar cell type 2,Leader_Merad_2021_59,0
Alveolar cell type 2,Leader_Merad_2021_62,1
Alveolar cell type 2,Leader_Merad_2021_95,2
Alveolar cell type 2,Leader_Merad_2021_97,0
Alveolar cell type 2,Leader_Merad_2021_99,28
Alveolar cell type 2,Leader_Merad_2021_103,22
Alveolar cell type 2,Leader_Merad_2021_107,26
Alveolar cell type 2,Leader_Merad_2021_111,27
Alveolar cell type 2,Leader_Merad_2021_116,0
Alveolar cell type 2,Leader_Merad_2021_297,0
Alveolar cell type 2,Leader_Merad_2021_298,0
Alveolar cell type 2,Leader_Merad_2021_344,4
Alveolar cell type 2,Leader_Merad_2021_398,0
Alveolar cell type 2,Leader_Merad_2021_414,0
Alveolar cell type 2,Leader_Merad_2021_415,0
Alveolar cell type 2,Leader_Merad_2021_448,44
Alveolar cell type 2,Leader_Merad_2021_452,33
Alveolar cell type 2,Leader_Merad_2021_456,30
Alveolar cell type 2,Leader_Merad_2021_460,39
Alveolar cell type 2,Leader_Merad_2021_464,31
Alveolar cell type 2,Leader_Merad_2021_468,31
Alveolar cell type 2,Leader_Merad_2021_472,32
Alveolar cell type 2,Leader_Merad_2021_481,0
Alveolar cell type 2,Leader_Merad_2021_851,0
Alveolar cell type 2,Maynard_Bivona_2020_LT_S66,25
Alveolar cell type 2,UKIM-V-2_P4_tumor_primary,1
Alveolar cell type 2,UKIM-V-2_P5_tumor_primary,1
Alveolar cell type 2,UKIM-V-2_P6_tumor_primary,2
Alveolar cell type 2,UKIM-V-2_P8_tumor_primary,5
Alveolar cell type 2,UKIM-V-2_P9_tumor_primary,64
Alveolar cell type 2,UKIM-V-2_P10_tumor_primary,10
Alveolar cell type 2,UKIM-V-2_P13_tumor_primary,18
Alveolar cell type 2,UKIM-V-2_P14_tumor_primary,29
Alveolar cell type 2,UKIM-V-2_P16_tumor_primary,46
Alveolar cell type 2,UKIM-V-2_P17_tumor_primary,0
Alveolar cell type 2,UKIM-V_P1_tumor_primary,5
Alveolar cell type 2,UKIM-V_P2_tumor_primary,54
Alveolar cell type 2,UKIM-V_P3_tumor_primary,20
Alveolar cell type 2,Zilionis_Klein_2019_p1t1,11
Alveolar cell type 2,Zilionis_Klein_2019_p1t2,13
Alveolar cell type 2,Zilionis_Klein_2019_p1t3,5
Alveolar cell type 2,Zilionis_Klein_2019_p1t4,8
Alveolar cell type 2,Zilionis_Klein_2019_p4t1,6
Alveolar cell type 2,Zilionis_Klein_2019_p4t2,6
Alveolar cell type 2,Zilionis_Klein_2019_p4t3,3
Alveolar cell type 2,Zilionis_Klein_2019_p6t1,48
Alveolar cell type 2,Zilionis_Klein_2019_p6t2,58
B cell,Chen_Zhang_2020_NSCLC-1,771
B cell,Chen_Zhang_2020_NSCLC-2,552
B cell,Chen_Zhang_2020_NSCLC-3,774
B cell,Chen_Zhang_2020_NSCLC-6,119
B cell,Chen_Zhang_2020_NSCLC-7,1841
B cell,Chen_Zhang_2020_NSCLC-11,246
B cell,Goveia_Carmeliet_2020_patient_32_tumor_primary,0
B cell,Goveia_Carmeliet_2020_patient_40_tumor_primary,6
B cell,Goveia_Carmeliet_2020_patient_41_tumor_primary,10
B cell,Goveia_Carmeliet_2020_patient_42_tumor_primary,62
B cell,Goveia_Carmeliet_2020_patient_45_tumor_primary,8
B cell,Goveia_Carmeliet_2020_patient_46_tumor_primary,6
B cell,Goveia_Carmeliet_2020_patient_50_tumor_primary,5
B cell,Guo_Zhang_2018_P0616A_TTC,0
B cell,Guo_Zhang_2018_P0616A_TTH,0
B cell,Guo_Zhang_2018_P0616A_TTR,0
B cell,Guo_Zhang_2018_P0616A_TTY,0
B cell,Guo_Zhang_2018_P0616P_TTC,0
B cell,Guo_Zhang_2018_P0616P_TTH,0
B cell,Guo_Zhang_2018_P0706_TTC,0
B cell,Guo_Zhang_2018_P0706_TTH,0
B cell,Guo_Zhang_2018_P0706_TTR,0
B cell,Guo_Zhang_2018_P0706_TTY,0
B cell,Guo_Zhang_2018_P1010_TTC,0
B cell,Guo_Zhang_2018_P1010_TTH,0
B cell,Guo_Zhang_2018_P1010_TTR,0
B cell,Guo_Zhang_2018_P1010_TTY,0
B cell,Guo_Zhang_2018_P1118_TTC,0
B cell,Guo_Zhang_2018_P1118_TTH,0
B cell,Guo_Zhang_2018_P1120_TTC,0
B cell,Guo_Zhang_2018_P1120_TTH,0
B cell,Guo_Zhang_2018_P1120_TTR,0
B cell,Guo_Zhang_2018_P1120_TTY,0
B cell,Guo_Zhang_2018_P1202_TTC,0
B cell,Guo_Zhang_2018_P1202_TTH,0
B cell,Guo_Zhang_2018_P1202_TTR,0
B cell,Guo_Zhang_2018_P1202_TTY,0
B cell,Guo_Zhang_2018_P1208_TTC,0
B cell,Guo_Zhang_2018_P1208_TTH,0
B cell,Guo_Zhang_2018_P1219_TTC,0
B cell,Guo_Zhang_2018_P1219_TTH,0
B cell,Guo_Zhang_2018_P1219_TTY,0
B cell,He_Fan_2021_LUAD1,89
B cell,He_Fan_2021_LUAD2,237
B cell,He_Fan_2021_LUAD3,44
B cell,He_Fan_2021_LUAD4,22
B cell,He_Fan_2021_LUAD5,324
B cell,Kim_Lee_2020_LUNG_T06,455
B cell,Kim_Lee_2020_LUNG_T08,702
B cell,Kim_Lee_2020_LUNG_T09,80
B cell,Kim_Lee_2020_LUNG_T18,237
B cell,Kim_Lee_2020_LUNG_T19,361
B cell,Kim_Lee_2020_LUNG_T20,48
B cell,Kim_Lee_2020_LUNG_T25,1299
B cell,Kim_Lee_2020_LUNG_T30,51
B cell,Kim_Lee_2020_LUNG_T34,19
B cell,Lambrechts_Thienpont_2018_6149v1_BT1A,4
B cell,Lambrechts_Thienpont_2018_6149v1_BT1B,4
B cell,Lambrechts_Thienpont_2018_6149v1_BT1C,24
B cell,Lambrechts_Thienpont_2018_6149v1_BT2A,16
B cell,Lambrechts_Thienpont_2018_6149v1_BT2B,127
B cell,Lambrechts_Thienpont_2018_6149v1_BT1249,0
B cell,Lambrechts_Thienpont_2018_6149v2_BT1295,80
B cell,Lambrechts_Thienpont_2018_6149v2_BT1296,163
B cell,Lambrechts_Thienpont_2018_6149v2_BT1297,125
B cell,Lambrechts_Thienpont_2018_6149v2_BT1298,195
B cell,Lambrechts_Thienpont_2018_6149v2_BT1299,610
B cell,Lambrechts_Thienpont_2018_6149v2_BT1300,232
B cell,Lambrechts_Thienpont_2018_6653_BT1375,248
B cell,Lambrechts_Thienpont_2018_6653_BT1376,88
B cell,Lambrechts_Thienpont_2018_6653_BT1377,69
B cell,Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,34
B cell,Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,31
B cell,Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,30
B cell,Laughney_Massague_2020_GSM3516662,0
B cell,Laughney_Massague_2020_GSM3516663,79
B cell,Laughney_Massague_2020_GSM3516667,688
B cell,Laughney_Massague_2020_GSM3516669,18
B cell,Laughney_Massague_2020_GSM3516670,20
B cell,Laughney_Massague_2020_GSM3516672,600
B cell,Laughney_Massague_2020_GSM3516674,11
B cell,Leader_Merad_2021_311,102
B cell,Leader_Merad_2021_313,163
B cell,Leader_Merad_2021_317,123
B cell,Leader_Merad_2021_318,314
B cell,Leader_Merad_2021_324,68
B cell,Leader_Merad_2021_326,161
B cell,Leader_Merad_2021_328,1377
B cell,Leader_Merad_2021_332,45
B cell,Leader_Merad_2021_334,22
B cell,Leader_Merad_2021_336,0
B cell,Leader_Merad_2021_340,276
B cell,Leader_Merad_2021_342,332
B cell,Leader_Merad_2021_38,319
B cell,Leader_Merad_2021_40,75
B cell,Leader_Merad_2021_42,154
B cell,Leader_Merad_2021_43,538
B cell,Leader_Merad_2021_45,427
B cell,Leader_Merad_2021_47,254
B cell,Leader_Merad_2021_48,132
B cell,Leader_Merad_2021_51,315
B cell,Leader_Merad_2021_52,180
B cell,Leader_Merad_2021_53,143
B cell,Leader_Merad_2021_57,25
B cell,Leader_Merad_2021_58,285
B cell,Leader_Merad_2021_59,237
B cell,Leader_Merad_2021_62,44
B cell,Leader_Merad_2021_95,709
B cell,Leader_Merad_2021_97,329
B cell,Leader_Merad_2021_99,236
B cell,Leader_Merad_2021_103,201
B cell,Leader_Merad_2021_107,188
B cell,Leader_Merad_2021_111,208
B cell,Leader_Merad_2021_116,5
B cell,Leader_Merad_2021_297,405
B cell,Leader_Merad_2021_298,117
B cell,Leader_Merad_2021_344,344
B cell,Leader_Merad_2021_398,576
B cell,Leader_Merad_2021_414,242
B cell,Leader_Merad_2021_415,223
B cell,Leader_Merad_2021_448,780
B cell,Leader_Merad_2021_452,802
B cell,Leader_Merad_2021_456,781
B cell,Leader_Merad_2021_460,805
B cell,Leader_Merad_2021_464,773
B cell,Leader_Merad_2021_468,711
B cell,Leader_Merad_2021_472,747
B cell,Leader_Merad_2021_481,31
B cell,Leader_Merad_2021_851,1360
B cell,Maynard_Bivona_2020_LT_S66,9
B cell,UKIM-V-2_P4_tumor_primary,69
B cell,UKIM-V-2_P5_tumor_primary,236
B cell,UKIM-V-2_P6_tumor_primary,66
B cell,UKIM-V-2_P8_tumor_primary,4
B cell,UKIM-V-2_P9_tumor_primary,138
B cell,UKIM-V-2_P10_tumor_primary,350
B cell,UKIM-V-2_P13_tumor_primary,28
B cell,UKIM-V-2_P14_tumor_primary,610
B cell,UKIM-V-2_P16_tumor_primary,103
B cell,UKIM-V-2_P17_tumor_primary,266
B cell,UKIM-V_P1_tumor_primary,82
B cell,UKIM-V_P2_tumor_primary,93
B cell,UKIM-V_P3_tumor_primary,132
B cell,Zilionis_Klein_2019_p1t1,69
B cell,Zilionis_Klein_2019_p1t2,60
B cell,Zilionis_Klein_2019_p1t3,37
B cell,Zilionis_Klein_2019_p1t4,48
B cell,Zilionis_Klein_2019_p4t1,43
B cell,Zilionis_Klein_2019_p4t2,29
B cell,Zilionis_Klein_2019_p4t3,33
B cell,Zilionis_Klein_2019_p6t1,314
B cell,Zilionis_Klein_2019_p6t2,272
B cell dividing,Chen_Zhang_2020_NSCLC-1,1
B cell dividing,Chen_Zhang_2020_NSCLC-2,0
B cell dividing,Chen_Zhang_2020_NSCLC-3,0
B cell dividing,Chen_Zhang_2020_NSCLC-6,0
B cell dividing,Chen_Zhang_2020_NSCLC-7,4
B cell dividing,Chen_Zhang_2020_NSCLC-11,0
B cell dividing,Goveia_Carmeliet_2020_patient_32_tumor_primary,0
B cell dividing,Goveia_Carmeliet_2020_patient_40_tumor_primary,0
B cell dividing,Goveia_Carmeliet_2020_patient_41_tumor_primary,0
B cell dividing,Goveia_Carmeliet_2020_patient_42_tumor_primary,0
B cell dividing,Goveia_Carmeliet_2020_patient_45_tumor_primary,0
B cell dividing,Goveia_Carmeliet_2020_patient_46_tumor_primary,0
B cell dividing,Goveia_Carmeliet_2020_patient_50_tumor_primary,0
B cell dividing,Guo_Zhang_2018_P0616A_TTC,0
B cell dividing,Guo_Zhang_2018_P0616A_TTH,0
B cell dividing,Guo_Zhang_2018_P0616A_TTR,0
B cell dividing,Guo_Zhang_2018_P0616A_TTY,0
B cell dividing,Guo_Zhang_2018_P0616P_TTC,0
B cell dividing,Guo_Zhang_2018_P0616P_TTH,0
B cell dividing,Guo_Zhang_2018_P0706_TTC,0
B cell dividing,Guo_Zhang_2018_P0706_TTH,0
B cell dividing,Guo_Zhang_2018_P0706_TTR,0
B cell dividing,Guo_Zhang_2018_P0706_TTY,0
