Level_2_cancer,sample,0
Lymphoid_Normal,P12_normal_adjacent_UKIM-V-2,1260
Lymphoid_Normal,P12_tumor_primary_UKIM-V-2,6259
Lymphoid_Normal,P13_normal_adjacent_UKIM-V-2,914
Lymphoid_Normal,P13_tumor_primary_UKIM-V-2,4263
Lymphoid_Normal,P14_normal_adjacent_UKIM-V-2,2749
Lymphoid_Normal,P14_tumor_primary_UKIM-V-2,3532
Lymphoid_Normal,P15_normal_adjacent_UKIM-V-2,1419
Lymphoid_Normal,P15_tumor_primary_UKIM-V-2,2172
Lymphoid_Normal,P16_normal_adjacent_UKIM-V-2,2491
Lymphoid_Normal,P16_tumor_primary_UKIM-V-2,1607
Lymphoid_Normal,P17_normal_adjacent_UKIM-V-2,298
Lymphoid_Normal,P17_tumor_primary_UKIM-V-2,1214
Lymphoid_Tumor,P4_normal_adjacent_UKIM-V-2,0
Lymphoid_Tumor,P4_tumor_primary_UKIM-V-2,1
Lymphoid_Tumor,P5_normal_adjacent_UKIM-V-2,0
Lymphoid_Tumor,P5_tumor_primary_UKIM-V-2,0
Lymphoid_Tumor,P6_normal_adjacent_UKIM-V-2,0
Lymphoid_Tumor,P6_tumor_primary_UKIM-V-2,0
Lymphoid_Tumor,P7_normal_adjacent_UKIM-V-2,0
Lymphoid_Tumor,P7_tumor_primary_UKIM-V-2,0
Lymphoid_Tumor,P8_normal_adjacent_UKIM-V-2,0
Lymphoid_Tumor,P8_tumor_primary_UKIM-V-2,0
Lymphoid_Tumor,P9_normal_adjacent_UKIM-V-2,2
Lymphoid_Tumor,P9_tumor_primary_UKIM-V-2,2
Lymphoid_Tumor,P10_normal_adjacent_UKIM-V-2,1
Lymphoid_Tumor,P10_tumor_primary_UKIM-V-2,0
Lymphoid_Tumor,P11_normal_adjacent_UKIM-V-2,1
Lymphoid_Tumor,P11_tumor_primary_UKIM-V-2,5
Lymphoid_Tumor,P12_normal_adjacent_UKIM-V-2,2
Lymphoid_Tumor,P12_tumor_primary_UKIM-V-2,27
Lymphoid_Tumor,P13_normal_adjacent_UKIM-V-2,0
Lymphoid_Tumor,P13_tumor_primary_UKIM-V-2,0
Lymphoid_Tumor,P14_normal_adjacent_UKIM-V-2,0
Lymphoid_Tumor,P14_tumor_primary_UKIM-V-2,1
Lymphoid_Tumor,P15_normal_adjacent_UKIM-V-2,1
Lymphoid_Tumor,P15_tumor_primary_UKIM-V-2,1
Lymphoid_Tumor,P16_normal_adjacent_UKIM-V-2,0
Lymphoid_Tumor,P16_tumor_primary_UKIM-V-2,1
Lymphoid_Tumor,P17_normal_adjacent_UKIM-V-2,0
Lymphoid_Tumor,P17_tumor_primary_UKIM-V-2,3
Mesothelium_Normal,P4_normal_adjacent_UKIM-V-2,0
Mesothelium_Normal,P4_tumor_primary_UKIM-V-2,0
Mesothelium_Normal,P5_normal_adjacent_UKIM-V-2,0
Mesothelium_Normal,P5_tumor_primary_UKIM-V-2,0
Mesothelium_Normal,P6_normal_adjacent_UKIM-V-2,25
Mesothelium_Normal,P6_tumor_primary_UKIM-V-2,5
Mesothelium_Normal,P7_normal_adjacent_UKIM-V-2,0
Mesothelium_Normal,P7_tumor_primary_UKIM-V-2,2
Mesothelium_Normal,P8_normal_adjacent_UKIM-V-2,0
Mesothelium_Normal,P8_tumor_primary_UKIM-V-2,0
Mesothelium_Normal,P9_normal_adjacent_UKIM-V-2,0
Mesothelium_Normal,P9_tumor_primary_UKIM-V-2,0
Mesothelium_Normal,P10_normal_adjacent_UKIM-V-2,9
Mesothelium_Normal,P10_tumor_primary_UKIM-V-2,10
Mesothelium_Normal,P11_normal_adjacent_UKIM-V-2,0
Mesothelium_Normal,P11_tumor_primary_UKIM-V-2,0
Mesothelium_Normal,P12_normal_adjacent_UKIM-V-2,4
Mesothelium_Normal,P12_tumor_primary_UKIM-V-2,0
Mesothelium_Normal,P13_normal_adjacent_UKIM-V-2,0
Mesothelium_Normal,P13_tumor_primary_UKIM-V-2,0
Mesothelium_Normal,P14_normal_adjacent_UKIM-V-2,0
Mesothelium_Normal,P14_tumor_primary_UKIM-V-2,1
Mesothelium_Normal,P15_normal_adjacent_UKIM-V-2,0
Mesothelium_Normal,P15_tumor_primary_UKIM-V-2,0
Mesothelium_Normal,P16_normal_adjacent_UKIM-V-2,17
Mesothelium_Normal,P16_tumor_primary_UKIM-V-2,0
Mesothelium_Normal,P17_normal_adjacent_UKIM-V-2,4
Mesothelium_Normal,P17_tumor_primary_UKIM-V-2,1
Myeloid_Normal,P4_normal_adjacent_UKIM-V-2,107
Myeloid_Normal,P4_tumor_primary_UKIM-V-2,75
Myeloid_Normal,P5_normal_adjacent_UKIM-V-2,114
Myeloid_Normal,P5_tumor_primary_UKIM-V-2,77
Myeloid_Normal,P6_normal_adjacent_UKIM-V-2,567
Myeloid_Normal,P6_tumor_primary_UKIM-V-2,2608
Myeloid_Normal,P7_normal_adjacent_UKIM-V-2,355
Myeloid_Normal,P7_tumor_primary_UKIM-V-2,223
Myeloid_Normal,P8_normal_adjacent_UKIM-V-2,445
Myeloid_Normal,P8_tumor_primary_UKIM-V-2,539
Myeloid_Normal,P9_normal_adjacent_UKIM-V-2,845
Myeloid_Normal,P9_tumor_primary_UKIM-V-2,710
Myeloid_Normal,P10_normal_adjacent_UKIM-V-2,1617
Myeloid_Normal,P10_tumor_primary_UKIM-V-2,704
Myeloid_Normal,P11_normal_adjacent_UKIM-V-2,305
Myeloid_Normal,P11_tumor_primary_UKIM-V-2,199
Myeloid_Normal,P12_normal_adjacent_UKIM-V-2,522
Myeloid_Normal,P12_tumor_primary_UKIM-V-2,127
Myeloid_Normal,P13_normal_adjacent_UKIM-V-2,337
Myeloid_Normal,P13_tumor_primary_UKIM-V-2,747
Myeloid_Normal,P14_normal_adjacent_UKIM-V-2,680
Myeloid_Normal,P14_tumor_primary_UKIM-V-2,393
Myeloid_Normal,P15_normal_adjacent_UKIM-V-2,482
Myeloid_Normal,P15_tumor_primary_UKIM-V-2,238
Myeloid_Normal,P16_normal_adjacent_UKIM-V-2,461
Myeloid_Normal,P16_tumor_primary_UKIM-V-2,239
Myeloid_Normal,P17_normal_adjacent_UKIM-V-2,180
Myeloid_Normal,P17_tumor_primary_UKIM-V-2,1938
Myeloid_Tumor,P4_normal_adjacent_UKIM-V-2,1749
Myeloid_Tumor,P4_tumor_primary_UKIM-V-2,538
Myeloid_Tumor,P5_normal_adjacent_UKIM-V-2,1444
Myeloid_Tumor,P5_tumor_primary_UKIM-V-2,607
Myeloid_Tumor,P6_normal_adjacent_UKIM-V-2,2553
Myeloid_Tumor,P6_tumor_primary_UKIM-V-2,2079
Myeloid_Tumor,P7_normal_adjacent_UKIM-V-2,1683
Myeloid_Tumor,P7_tumor_primary_UKIM-V-2,723
Myeloid_Tumor,P8_normal_adjacent_UKIM-V-2,1708
Myeloid_Tumor,P8_tumor_primary_UKIM-V-2,67
Myeloid_Tumor,P9_normal_adjacent_UKIM-V-2,918
Myeloid_Tumor,P9_tumor_primary_UKIM-V-2,375
Myeloid_Tumor,P10_normal_adjacent_UKIM-V-2,4724
Myeloid_Tumor,P10_tumor_primary_UKIM-V-2,2676
Myeloid_Tumor,P11_normal_adjacent_UKIM-V-2,1332
Myeloid_Tumor,P11_tumor_primary_UKIM-V-2,958
Myeloid_Tumor,P12_normal_adjacent_UKIM-V-2,819
Myeloid_Tumor,P12_tumor_primary_UKIM-V-2,321
Myeloid_Tumor,P13_normal_adjacent_UKIM-V-2,1533
Myeloid_Tumor,P13_tumor_primary_UKIM-V-2,1802
Myeloid_Tumor,P14_normal_adjacent_UKIM-V-2,1006
Myeloid_Tumor,P14_tumor_primary_UKIM-V-2,1434
Myeloid_Tumor,P15_normal_adjacent_UKIM-V-2,1912
Myeloid_Tumor,P15_tumor_primary_UKIM-V-2,771
Myeloid_Tumor,P16_normal_adjacent_UKIM-V-2,1333
Myeloid_Tumor,P16_tumor_primary_UKIM-V-2,1260
Myeloid_Tumor,P17_normal_adjacent_UKIM-V-2,1644
Myeloid_Tumor,P17_tumor_primary_UKIM-V-2,486
Smooth muscle_Normal,P4_normal_adjacent_UKIM-V-2,1
Smooth muscle_Normal,P4_tumor_primary_UKIM-V-2,1
Smooth muscle_Normal,P5_normal_adjacent_UKIM-V-2,0
Smooth muscle_Normal,P5_tumor_primary_UKIM-V-2,0
Smooth muscle_Normal,P6_normal_adjacent_UKIM-V-2,0
Smooth muscle_Normal,P6_tumor_primary_UKIM-V-2,0
Smooth muscle_Normal,P7_normal_adjacent_UKIM-V-2,1
Smooth muscle_Normal,P7_tumor_primary_UKIM-V-2,0
Smooth muscle_Normal,P8_normal_adjacent_UKIM-V-2,1
Smooth muscle_Normal,P8_tumor_primary_UKIM-V-2,0
Smooth muscle_Normal,P9_normal_adjacent_UKIM-V-2,1
Smooth muscle_Normal,P9_tumor_primary_UKIM-V-2,1
Smooth muscle_Normal,P10_normal_adjacent_UKIM-V-2,0
Smooth muscle_Normal,P10_tumor_primary_UKIM-V-2,1
Smooth muscle_Normal,P11_normal_adjacent_UKIM-V-2,0
Smooth muscle_Normal,P11_tumor_primary_UKIM-V-2,1
Smooth muscle_Normal,P12_normal_adjacent_UKIM-V-2,1
Smooth muscle_Normal,P12_tumor_primary_UKIM-V-2,1
Smooth muscle_Normal,P13_normal_adjacent_UKIM-V-2,2
