,cell_type_adjusted,sample,0,dataset
139,Alveolar cell type 2,Wu_Zhou_2021_GSM4453596,2,Wu_Zhou_2021
140,Alveolar cell type 2,Wu_Zhou_2021_GSM4453597,0,Wu_Zhou_2021
141,Alveolar cell type 2,Wu_Zhou_2021_GSM4453598,1,Wu_Zhou_2021
142,Alveolar cell type 2,Wu_Zhou_2021_GSM4453599,0,Wu_Zhou_2021
143,Alveolar cell type 2,Wu_Zhou_2021_GSM4453600,0,Wu_Zhou_2021
144,Alveolar cell type 2,Wu_Zhou_2021_GSM4453601,0,Wu_Zhou_2021
145,Alveolar cell type 2,Wu_Zhou_2021_GSM4453602,0,Wu_Zhou_2021
146,Alveolar cell type 2,Wu_Zhou_2021_GSM4453603,0,Wu_Zhou_2021
147,Alveolar cell type 2,Wu_Zhou_2021_GSM4453604,0,Wu_Zhou_2021
148,Alveolar cell type 2,Wu_Zhou_2021_GSM4453605,0,Wu_Zhou_2021
149,Alveolar cell type 2,Wu_Zhou_2021_GSM4453606,0,Wu_Zhou_2021
150,Alveolar cell type 2,Wu_Zhou_2021_GSM4453607,4,Wu_Zhou_2021
151,Alveolar cell type 2,Wu_Zhou_2021_GSM4453608,3,Wu_Zhou_2021
152,Alveolar cell type 2,Wu_Zhou_2021_GSM4453609,0,Wu_Zhou_2021
153,Alveolar cell type 2,Wu_Zhou_2021_GSM4453610,319,Wu_Zhou_2021
154,Alveolar cell type 2,Wu_Zhou_2021_GSM4453611,0,Wu_Zhou_2021
155,Alveolar cell type 2,Wu_Zhou_2021_GSM4453612,0,Wu_Zhou_2021
156,Alveolar cell type 2,Wu_Zhou_2021_GSM4453613,17,Wu_Zhou_2021
157,Alveolar cell type 2,Wu_Zhou_2021_GSM4453614,161,Wu_Zhou_2021
158,Alveolar cell type 2,Wu_Zhou_2021_GSM4453615,0,Wu_Zhou_2021
159,Alveolar cell type 2,Wu_Zhou_2021_GSM4453616,0,Wu_Zhou_2021
160,Alveolar cell type 2,Wu_Zhou_2021_GSM4453617,0,Wu_Zhou_2021
161,Alveolar cell type 2,Zilionis_Klein_2019_p2t1,0,Zilionis_Klein_2019
162,Alveolar cell type 2,Zilionis_Klein_2019_p2t2,0,Zilionis_Klein_2019
163,Alveolar cell type 2,Zilionis_Klein_2019_p3t1,42,Zilionis_Klein_2019
164,Alveolar cell type 2,Zilionis_Klein_2019_p3t2,38,Zilionis_Klein_2019
165,Alveolar cell type 2,Zilionis_Klein_2019_p3t3,50,Zilionis_Klein_2019
166,Alveolar cell type 2,Zilionis_Klein_2019_p5t1,17,Zilionis_Klein_2019
167,Alveolar cell type 2,Zilionis_Klein_2019_p5t2,7,Zilionis_Klein_2019
168,Alveolar cell type 2,Zilionis_Klein_2019_p7t1,24,Zilionis_Klein_2019
169,Alveolar cell type 2,Zilionis_Klein_2019_p7t2,28,Zilionis_Klein_2019
170,B cell,Chen_Zhang_2020_NSCLC-4,295,Chen_Zhang_2020
171,B cell,Chen_Zhang_2020_NSCLC-5,1572,Chen_Zhang_2020
172,B cell,Chen_Zhang_2020_NSCLC-8,147,Chen_Zhang_2020
173,B cell,Chen_Zhang_2020_NSCLC-9,0,Chen_Zhang_2020
174,B cell,Chen_Zhang_2020_NSCLC-10,1128,Chen_Zhang_2020
175,B cell,Kim_Lee_2020_BRONCHO_58,102,Kim_Lee_2020
176,B cell,Kim_Lee_2020_EBUS_06,98,Kim_Lee_2020
177,B cell,Kim_Lee_2020_EBUS_28,6,Kim_Lee_2020
178,B cell,Kim_Lee_2020_EBUS_49,164,Kim_Lee_2020
179,B cell,Kim_Lee_2020_LUNG_T28,241,Kim_Lee_2020
180,B cell,Kim_Lee_2020_LUNG_T31,22,Kim_Lee_2020
181,B cell,Lambrechts_Thienpont_2018_6149v2_BT1290,225,Lambrechts_Thienpont_2018_6149v2
182,B cell,Lambrechts_Thienpont_2018_6149v2_BT1291,146,Lambrechts_Thienpont_2018_6149v2
183,B cell,Lambrechts_Thienpont_2018_6149v2_BT1292,92,Lambrechts_Thienpont_2018_6149v2
184,B cell,Lambrechts_Thienpont_2018_6653_scrBT1430m,167,Lambrechts_Thienpont_2018_6653
185,B cell,Lambrechts_Thienpont_2018_6653_scrBT1431m,685,Lambrechts_Thienpont_2018_6653
186,B cell,Lambrechts_Thienpont_2018_6653_scrBT1432m,110,Lambrechts_Thienpont_2018_6653
187,B cell,Laughney_Massague_2020_GSM3516665,72,Laughney_Massague_2020
188,B cell,Maynard_Bivona_2020_LT_S01,0,Maynard_Bivona_2020
189,B cell,Maynard_Bivona_2020_LT_S11,0,Maynard_Bivona_2020
190,B cell,Maynard_Bivona_2020_LT_S42,10,Maynard_Bivona_2020
191,B cell,Maynard_Bivona_2020_LT_S52,0,Maynard_Bivona_2020
192,B cell,Maynard_Bivona_2020_LT_S56,2,Maynard_Bivona_2020
193,B cell,Maynard_Bivona_2020_LT_S57,6,Maynard_Bivona_2020
194,B cell,Maynard_Bivona_2020_LT_S58,3,Maynard_Bivona_2020
195,B cell,Maynard_Bivona_2020_LT_S67,0,Maynard_Bivona_2020
196,B cell,Maynard_Bivona_2020_LT_S71,47,Maynard_Bivona_2020
197,B cell,Maynard_Bivona_2020_LT_S74,32,Maynard_Bivona_2020
198,B cell,Maynard_Bivona_2020_LT_S79,12,Maynard_Bivona_2020
199,B cell,Maynard_Bivona_2020_LT_S82,1,Maynard_Bivona_2020
200,B cell,UKIM-V-2_P7_tumor_primary,69,UKIM-V-2
201,B cell,UKIM-V-2_P11_tumor_primary,129,UKIM-V-2
202,B cell,UKIM-V-2_P12_tumor_primary,451,UKIM-V-2
203,B cell,UKIM-V-2_P15_tumor_primary,72,UKIM-V-2
204,B cell,Wu_Zhou_2021_GSM4453576,0,Wu_Zhou_2021
205,B cell,Wu_Zhou_2021_GSM4453577,2,Wu_Zhou_2021
206,B cell,Wu_Zhou_2021_GSM4453578,0,Wu_Zhou_2021
207,B cell,Wu_Zhou_2021_GSM4453579,0,Wu_Zhou_2021
208,B cell,Wu_Zhou_2021_GSM4453580,2,Wu_Zhou_2021
209,B cell,Wu_Zhou_2021_GSM4453581,8,Wu_Zhou_2021
210,B cell,Wu_Zhou_2021_GSM4453582,112,Wu_Zhou_2021
211,B cell,Wu_Zhou_2021_GSM4453583,57,Wu_Zhou_2021
212,B cell,Wu_Zhou_2021_GSM4453584,0,Wu_Zhou_2021
213,B cell,Wu_Zhou_2021_GSM4453585,1,Wu_Zhou_2021
214,B cell,Wu_Zhou_2021_GSM4453586,6,Wu_Zhou_2021
215,B cell,Wu_Zhou_2021_GSM4453587,51,Wu_Zhou_2021
216,B cell,Wu_Zhou_2021_GSM4453588,139,Wu_Zhou_2021
217,B cell,Wu_Zhou_2021_GSM4453589,0,Wu_Zhou_2021
218,B cell,Wu_Zhou_2021_GSM4453590,0,Wu_Zhou_2021
219,B cell,Wu_Zhou_2021_GSM4453591,0,Wu_Zhou_2021
220,B cell,Wu_Zhou_2021_GSM4453592,0,Wu_Zhou_2021
221,B cell,Wu_Zhou_2021_GSM4453593,1,Wu_Zhou_2021
222,B cell,Wu_Zhou_2021_GSM4453594,12,Wu_Zhou_2021
223,B cell,Wu_Zhou_2021_GSM4453595,0,Wu_Zhou_2021
224,B cell,Wu_Zhou_2021_GSM4453596,1,Wu_Zhou_2021
225,B cell,Wu_Zhou_2021_GSM4453597,1,Wu_Zhou_2021
226,B cell,Wu_Zhou_2021_GSM4453598,1,Wu_Zhou_2021
227,B cell,Wu_Zhou_2021_GSM4453599,5,Wu_Zhou_2021
228,B cell,Wu_Zhou_2021_GSM4453600,0,Wu_Zhou_2021
229,B cell,Wu_Zhou_2021_GSM4453601,19,Wu_Zhou_2021
230,B cell,Wu_Zhou_2021_GSM4453602,0,Wu_Zhou_2021
231,B cell,Wu_Zhou_2021_GSM4453603,2,Wu_Zhou_2021
232,B cell,Wu_Zhou_2021_GSM4453604,0,Wu_Zhou_2021
233,B cell,Wu_Zhou_2021_GSM4453605,0,Wu_Zhou_2021
234,B cell,Wu_Zhou_2021_GSM4453606,0,Wu_Zhou_2021
235,B cell,Wu_Zhou_2021_GSM4453607,24,Wu_Zhou_2021
236,B cell,Wu_Zhou_2021_GSM4453608,0,Wu_Zhou_2021
237,B cell,Wu_Zhou_2021_GSM4453609,0,Wu_Zhou_2021
238,B cell,Wu_Zhou_2021_GSM4453610,5,Wu_Zhou_2021
239,B cell,Wu_Zhou_2021_GSM4453611,2,Wu_Zhou_2021
240,B cell,Wu_Zhou_2021_GSM4453612,0,Wu_Zhou_2021
241,B cell,Wu_Zhou_2021_GSM4453613,8,Wu_Zhou_2021
242,B cell,Wu_Zhou_2021_GSM4453614,20,Wu_Zhou_2021
243,B cell,Wu_Zhou_2021_GSM4453615,50,Wu_Zhou_2021
244,B cell,Wu_Zhou_2021_GSM4453616,0,Wu_Zhou_2021
245,B cell,Wu_Zhou_2021_GSM4453617,7,Wu_Zhou_2021
246,B cell,Zilionis_Klein_2019_p2t1,14,Zilionis_Klein_2019
247,B cell,Zilionis_Klein_2019_p2t2,7,Zilionis_Klein_2019
248,B cell,Zilionis_Klein_2019_p3t1,766,Zilionis_Klein_2019
249,B cell,Zilionis_Klein_2019_p3t2,888,Zilionis_Klein_2019
250,B cell,Zilionis_Klein_2019_p3t3,724,Zilionis_Klein_2019
251,B cell,Zilionis_Klein_2019_p5t1,88,Zilionis_Klein_2019
252,B cell,Zilionis_Klein_2019_p5t2,320,Zilionis_Klein_2019
253,B cell,Zilionis_Klein_2019_p7t1,39,Zilionis_Klein_2019
254,B cell,Zilionis_Klein_2019_p7t2,37,Zilionis_Klein_2019
255,B cell dividing,Chen_Zhang_2020_NSCLC-4,4,Chen_Zhang_2020
256,B cell dividing,Chen_Zhang_2020_NSCLC-5,42,Chen_Zhang_2020
257,B cell dividing,Chen_Zhang_2020_NSCLC-8,0,Chen_Zhang_2020
258,B cell dividing,Chen_Zhang_2020_NSCLC-9,0,Chen_Zhang_2020
259,B cell dividing,Chen_Zhang_2020_NSCLC-10,5,Chen_Zhang_2020
260,B cell dividing,Kim_Lee_2020_BRONCHO_58,0,Kim_Lee_2020
261,B cell dividing,Kim_Lee_2020_EBUS_06,0,Kim_Lee_2020
262,B cell dividing,Kim_Lee_2020_EBUS_28,0,Kim_Lee_2020
263,B cell dividing,Kim_Lee_2020_EBUS_49,0,Kim_Lee_2020
264,B cell dividing,Kim_Lee_2020_LUNG_T28,3,Kim_Lee_2020
265,B cell dividing,Kim_Lee_2020_LUNG_T31,0,Kim_Lee_2020
266,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1290,2,Lambrechts_Thienpont_2018_6149v2
267,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1291,0,Lambrechts_Thienpont_2018_6149v2
268,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1292,0,Lambrechts_Thienpont_2018_6149v2
269,B cell dividing,Lambrechts_Thienpont_2018_6653_scrBT1430m,11,Lambrechts_Thienpont_2018_6653
270,B cell dividing,Lambrechts_Thienpont_2018_6653_scrBT1431m,17,Lambrechts_Thienpont_2018_6653
271,B cell dividing,Lambrechts_Thienpont_2018_6653_scrBT1432m,4,Lambrechts_Thienpont_2018_6653
272,B cell dividing,Laughney_Massague_2020_GSM3516665,4,Laughney_Massague_2020
273,B cell dividing,Maynard_Bivona_2020_LT_S01,0,Maynard_Bivona_2020
274,B cell dividing,Maynard_Bivona_2020_LT_S11,0,Maynard_Bivona_2020
275,B cell dividing,Maynard_Bivona_2020_LT_S42,0,Maynard_Bivona_2020
276,B cell dividing,Maynard_Bivona_2020_LT_S52,0,Maynard_Bivona_2020
277,B cell dividing,Maynard_Bivona_2020_LT_S56,0,Maynard_Bivona_2020
278,B cell dividing,Maynard_Bivona_2020_LT_S57,0,Maynard_Bivona_2020
279,B cell dividing,Maynard_Bivona_2020_LT_S58,1,Maynard_Bivona_2020
280,B cell dividing,Maynard_Bivona_2020_LT_S67,0,Maynard_Bivona_2020
281,B cell dividing,Maynard_Bivona_2020_LT_S71,2,Maynard_Bivona_2020
282,B cell dividing,Maynard_Bivona_2020_LT_S74,0,Maynard_Bivona_2020
283,B cell dividing,Maynard_Bivona_2020_LT_S79,0,Maynard_Bivona_2020
284,B cell dividing,Maynard_Bivona_2020_LT_S82,0,Maynard_Bivona_2020
285,B cell dividing,UKIM-V-2_P7_tumor_primary,0,UKIM-V-2
286,B cell dividing,UKIM-V-2_P11_tumor_primary,0,UKIM-V-2
287,B cell dividing,UKIM-V-2_P12_tumor_primary,6,UKIM-V-2
288,B cell dividing,UKIM-V-2_P15_tumor_primary,0,UKIM-V-2
289,B cell dividing,Wu_Zhou_2021_GSM4453576,0,Wu_Zhou_2021
290,B cell dividing,Wu_Zhou_2021_GSM4453577,1,Wu_Zhou_2021
291,B cell dividing,Wu_Zhou_2021_GSM4453578,0,Wu_Zhou_2021
292,B cell dividing,Wu_Zhou_2021_GSM4453579,0,Wu_Zhou_2021
293,B cell dividing,Wu_Zhou_2021_GSM4453580,0,Wu_Zhou_2021
294,B cell dividing,Wu_Zhou_2021_GSM4453581,0,Wu_Zhou_2021
295,B cell dividing,Wu_Zhou_2021_GSM4453582,0,Wu_Zhou_2021
296,B cell dividing,Wu_Zhou_2021_GSM4453583,0,Wu_Zhou_2021
297,B cell dividing,Wu_Zhou_2021_GSM4453584,0,Wu_Zhou_2021
298,B cell dividing,Wu_Zhou_2021_GSM4453585,1,Wu_Zhou_2021
299,B cell dividing,Wu_Zhou_2021_GSM4453586,0,Wu_Zhou_2021
300,B cell dividing,Wu_Zhou_2021_GSM4453587,1,Wu_Zhou_2021
301,B cell dividing,Wu_Zhou_2021_GSM4453588,11,Wu_Zhou_2021
302,B cell dividing,Wu_Zhou_2021_GSM4453589,0,Wu_Zhou_2021
303,B cell dividing,Wu_Zhou_2021_GSM4453590,0,Wu_Zhou_2021
304,B cell dividing,Wu_Zhou_2021_GSM4453591,0,Wu_Zhou_2021
305,B cell dividing,Wu_Zhou_2021_GSM4453592,0,Wu_Zhou_2021
306,B cell dividing,Wu_Zhou_2021_GSM4453593,0,Wu_Zhou_2021
307,B cell dividing,Wu_Zhou_2021_GSM4453594,0,Wu_Zhou_2021
308,B cell dividing,Wu_Zhou_2021_GSM4453595,0,Wu_Zhou_2021
309,B cell dividing,Wu_Zhou_2021_GSM4453596,0,Wu_Zhou_2021
310,B cell dividing,Wu_Zhou_2021_GSM4453597,0,Wu_Zhou_2021
311,B cell dividing,Wu_Zhou_2021_GSM4453598,0,Wu_Zhou_2021
312,B cell dividing,Wu_Zhou_2021_GSM4453599,0,Wu_Zhou_2021
