,cell_type_adjusted,sample,0,dataset
72,Alveolar cell type 2,Chen_Zhang_2020_NSCLC-7,0,Chen_Zhang_2020
73,Alveolar cell type 2,Chen_Zhang_2020_NSCLC-11,23,Chen_Zhang_2020
74,Alveolar cell type 2,He_Fan_2021_LUAD1,50,He_Fan_2021
75,Alveolar cell type 2,He_Fan_2021_LUAD2,37,He_Fan_2021
76,Alveolar cell type 2,He_Fan_2021_LUAD3,18,He_Fan_2021
77,Alveolar cell type 2,He_Fan_2021_LUAD4,426,He_Fan_2021
78,Alveolar cell type 2,He_Fan_2021_LUAD5,70,He_Fan_2021
79,Alveolar cell type 2,Kim_Lee_2020_LUNG_T06,26,Kim_Lee_2020
80,Alveolar cell type 2,Kim_Lee_2020_LUNG_T08,13,Kim_Lee_2020
81,Alveolar cell type 2,Kim_Lee_2020_LUNG_T09,72,Kim_Lee_2020
82,Alveolar cell type 2,Kim_Lee_2020_LUNG_T18,0,Kim_Lee_2020
83,Alveolar cell type 2,Kim_Lee_2020_LUNG_T19,104,Kim_Lee_2020
84,Alveolar cell type 2,Kim_Lee_2020_LUNG_T20,51,Kim_Lee_2020
85,Alveolar cell type 2,Kim_Lee_2020_LUNG_T25,59,Kim_Lee_2020
86,Alveolar cell type 2,Kim_Lee_2020_LUNG_T30,295,Kim_Lee_2020
87,Alveolar cell type 2,Kim_Lee_2020_LUNG_T34,87,Kim_Lee_2020
88,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT1A,2,Lambrechts_Thienpont_2018_6149v1
89,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT1B,0,Lambrechts_Thienpont_2018_6149v1
90,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT1C,3,Lambrechts_Thienpont_2018_6149v1
91,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT2A,3,Lambrechts_Thienpont_2018_6149v1
92,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT2B,26,Lambrechts_Thienpont_2018_6149v1
93,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT1249,0,Lambrechts_Thienpont_2018_6149v1
94,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1295,4,Lambrechts_Thienpont_2018_6149v2
95,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1296,18,Lambrechts_Thienpont_2018_6149v2
96,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1297,15,Lambrechts_Thienpont_2018_6149v2
97,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1298,1,Lambrechts_Thienpont_2018_6149v2
98,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1299,10,Lambrechts_Thienpont_2018_6149v2
99,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1300,17,Lambrechts_Thienpont_2018_6149v2
100,Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_BT1375,11,Lambrechts_Thienpont_2018_6653
101,Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_BT1376,3,Lambrechts_Thienpont_2018_6653
102,Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_BT1377,8,Lambrechts_Thienpont_2018_6653
103,Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,15,Lambrechts_Thienpont_2018_6653
104,Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,28,Lambrechts_Thienpont_2018_6653
105,Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,21,Lambrechts_Thienpont_2018_6653
106,Alveolar cell type 2,Laughney_Massague_2020_GSM3516662,10,Laughney_Massague_2020
107,Alveolar cell type 2,Laughney_Massague_2020_GSM3516663,12,Laughney_Massague_2020
108,Alveolar cell type 2,Laughney_Massague_2020_GSM3516667,0,Laughney_Massague_2020
109,Alveolar cell type 2,Laughney_Massague_2020_GSM3516669,2,Laughney_Massague_2020
110,Alveolar cell type 2,Laughney_Massague_2020_GSM3516670,1,Laughney_Massague_2020
111,Alveolar cell type 2,Laughney_Massague_2020_GSM3516672,1,Laughney_Massague_2020
112,Alveolar cell type 2,Laughney_Massague_2020_GSM3516674,21,Laughney_Massague_2020
113,Alveolar cell type 2,Maynard_Bivona_2020_LT_S66,23,Maynard_Bivona_2020
114,Alveolar cell type 2,UKIM-V-2_P4_tumor_primary,1,UKIM-V-2
115,Alveolar cell type 2,UKIM-V-2_P5_tumor_primary,1,UKIM-V-2
116,Alveolar cell type 2,UKIM-V-2_P6_tumor_primary,2,UKIM-V-2
117,Alveolar cell type 2,UKIM-V-2_P8_tumor_primary,5,UKIM-V-2
118,Alveolar cell type 2,UKIM-V-2_P9_tumor_primary,64,UKIM-V-2
119,Alveolar cell type 2,UKIM-V-2_P10_tumor_primary,10,UKIM-V-2
120,Alveolar cell type 2,UKIM-V-2_P13_tumor_primary,18,UKIM-V-2
121,Alveolar cell type 2,UKIM-V-2_P14_tumor_primary,29,UKIM-V-2
122,Alveolar cell type 2,UKIM-V-2_P16_tumor_primary,46,UKIM-V-2
123,Alveolar cell type 2,UKIM-V-2_P17_tumor_primary,0,UKIM-V-2
124,Alveolar cell type 2,UKIM-V_P1_tumor_primary,5,UKIM-V
125,Alveolar cell type 2,UKIM-V_P2_tumor_primary,54,UKIM-V
126,Alveolar cell type 2,UKIM-V_P3_tumor_primary,19,UKIM-V
127,Alveolar cell type 2,Zilionis_Klein_2019_p1t1,11,Zilionis_Klein_2019
128,Alveolar cell type 2,Zilionis_Klein_2019_p1t2,13,Zilionis_Klein_2019
129,Alveolar cell type 2,Zilionis_Klein_2019_p1t3,5,Zilionis_Klein_2019
130,Alveolar cell type 2,Zilionis_Klein_2019_p1t4,8,Zilionis_Klein_2019
131,Alveolar cell type 2,Zilionis_Klein_2019_p4t1,4,Zilionis_Klein_2019
132,Alveolar cell type 2,Zilionis_Klein_2019_p4t2,4,Zilionis_Klein_2019
133,Alveolar cell type 2,Zilionis_Klein_2019_p4t3,2,Zilionis_Klein_2019
134,Alveolar cell type 2,Zilionis_Klein_2019_p6t1,48,Zilionis_Klein_2019
135,Alveolar cell type 2,Zilionis_Klein_2019_p6t2,58,Zilionis_Klein_2019
136,B cell,Chen_Zhang_2020_NSCLC-1,771,Chen_Zhang_2020
137,B cell,Chen_Zhang_2020_NSCLC-2,552,Chen_Zhang_2020
138,B cell,Chen_Zhang_2020_NSCLC-3,774,Chen_Zhang_2020
139,B cell,Chen_Zhang_2020_NSCLC-6,119,Chen_Zhang_2020
140,B cell,Chen_Zhang_2020_NSCLC-7,1841,Chen_Zhang_2020
141,B cell,Chen_Zhang_2020_NSCLC-11,246,Chen_Zhang_2020
142,B cell,He_Fan_2021_LUAD1,89,He_Fan_2021
143,B cell,He_Fan_2021_LUAD2,237,He_Fan_2021
144,B cell,He_Fan_2021_LUAD3,44,He_Fan_2021
145,B cell,He_Fan_2021_LUAD4,22,He_Fan_2021
146,B cell,He_Fan_2021_LUAD5,324,He_Fan_2021
147,B cell,Kim_Lee_2020_LUNG_T06,455,Kim_Lee_2020
148,B cell,Kim_Lee_2020_LUNG_T08,702,Kim_Lee_2020
149,B cell,Kim_Lee_2020_LUNG_T09,80,Kim_Lee_2020
150,B cell,Kim_Lee_2020_LUNG_T18,237,Kim_Lee_2020
151,B cell,Kim_Lee_2020_LUNG_T19,361,Kim_Lee_2020
152,B cell,Kim_Lee_2020_LUNG_T20,48,Kim_Lee_2020
153,B cell,Kim_Lee_2020_LUNG_T25,1299,Kim_Lee_2020
154,B cell,Kim_Lee_2020_LUNG_T30,51,Kim_Lee_2020
155,B cell,Kim_Lee_2020_LUNG_T34,19,Kim_Lee_2020
156,B cell,Lambrechts_Thienpont_2018_6149v1_BT1A,4,Lambrechts_Thienpont_2018_6149v1
157,B cell,Lambrechts_Thienpont_2018_6149v1_BT1B,4,Lambrechts_Thienpont_2018_6149v1
158,B cell,Lambrechts_Thienpont_2018_6149v1_BT1C,24,Lambrechts_Thienpont_2018_6149v1
159,B cell,Lambrechts_Thienpont_2018_6149v1_BT2A,16,Lambrechts_Thienpont_2018_6149v1
160,B cell,Lambrechts_Thienpont_2018_6149v1_BT2B,127,Lambrechts_Thienpont_2018_6149v1
161,B cell,Lambrechts_Thienpont_2018_6149v1_BT1249,0,Lambrechts_Thienpont_2018_6149v1
162,B cell,Lambrechts_Thienpont_2018_6149v2_BT1295,80,Lambrechts_Thienpont_2018_6149v2
163,B cell,Lambrechts_Thienpont_2018_6149v2_BT1296,163,Lambrechts_Thienpont_2018_6149v2
164,B cell,Lambrechts_Thienpont_2018_6149v2_BT1297,125,Lambrechts_Thienpont_2018_6149v2
165,B cell,Lambrechts_Thienpont_2018_6149v2_BT1298,195,Lambrechts_Thienpont_2018_6149v2
166,B cell,Lambrechts_Thienpont_2018_6149v2_BT1299,610,Lambrechts_Thienpont_2018_6149v2
167,B cell,Lambrechts_Thienpont_2018_6149v2_BT1300,232,Lambrechts_Thienpont_2018_6149v2
168,B cell,Lambrechts_Thienpont_2018_6653_BT1375,248,Lambrechts_Thienpont_2018_6653
169,B cell,Lambrechts_Thienpont_2018_6653_BT1376,88,Lambrechts_Thienpont_2018_6653
170,B cell,Lambrechts_Thienpont_2018_6653_BT1377,69,Lambrechts_Thienpont_2018_6653
171,B cell,Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,34,Lambrechts_Thienpont_2018_6653
172,B cell,Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,31,Lambrechts_Thienpont_2018_6653
173,B cell,Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,30,Lambrechts_Thienpont_2018_6653
174,B cell,Laughney_Massague_2020_GSM3516662,0,Laughney_Massague_2020
175,B cell,Laughney_Massague_2020_GSM3516663,79,Laughney_Massague_2020
176,B cell,Laughney_Massague_2020_GSM3516667,688,Laughney_Massague_2020
177,B cell,Laughney_Massague_2020_GSM3516669,18,Laughney_Massague_2020
178,B cell,Laughney_Massague_2020_GSM3516670,20,Laughney_Massague_2020
179,B cell,Laughney_Massague_2020_GSM3516672,600,Laughney_Massague_2020
180,B cell,Laughney_Massague_2020_GSM3516674,11,Laughney_Massague_2020
181,B cell,Maynard_Bivona_2020_LT_S66,9,Maynard_Bivona_2020
182,B cell,UKIM-V-2_P4_tumor_primary,69,UKIM-V-2
183,B cell,UKIM-V-2_P5_tumor_primary,236,UKIM-V-2
184,B cell,UKIM-V-2_P6_tumor_primary,66,UKIM-V-2
185,B cell,UKIM-V-2_P8_tumor_primary,4,UKIM-V-2
186,B cell,UKIM-V-2_P9_tumor_primary,138,UKIM-V-2
187,B cell,UKIM-V-2_P10_tumor_primary,350,UKIM-V-2
188,B cell,UKIM-V-2_P13_tumor_primary,28,UKIM-V-2
189,B cell,UKIM-V-2_P14_tumor_primary,610,UKIM-V-2
190,B cell,UKIM-V-2_P16_tumor_primary,103,UKIM-V-2
191,B cell,UKIM-V-2_P17_tumor_primary,266,UKIM-V-2
192,B cell,UKIM-V_P1_tumor_primary,82,UKIM-V
193,B cell,UKIM-V_P2_tumor_primary,93,UKIM-V
194,B cell,UKIM-V_P3_tumor_primary,132,UKIM-V
195,B cell,Zilionis_Klein_2019_p1t1,69,Zilionis_Klein_2019
196,B cell,Zilionis_Klein_2019_p1t2,60,Zilionis_Klein_2019
197,B cell,Zilionis_Klein_2019_p1t3,37,Zilionis_Klein_2019
198,B cell,Zilionis_Klein_2019_p1t4,48,Zilionis_Klein_2019
199,B cell,Zilionis_Klein_2019_p4t1,43,Zilionis_Klein_2019
200,B cell,Zilionis_Klein_2019_p4t2,29,Zilionis_Klein_2019
201,B cell,Zilionis_Klein_2019_p4t3,33,Zilionis_Klein_2019
202,B cell,Zilionis_Klein_2019_p6t1,314,Zilionis_Klein_2019
203,B cell,Zilionis_Klein_2019_p6t2,272,Zilionis_Klein_2019
204,B cell dividing,Chen_Zhang_2020_NSCLC-1,1,Chen_Zhang_2020
205,B cell dividing,Chen_Zhang_2020_NSCLC-2,0,Chen_Zhang_2020
206,B cell dividing,Chen_Zhang_2020_NSCLC-3,0,Chen_Zhang_2020
207,B cell dividing,Chen_Zhang_2020_NSCLC-6,0,Chen_Zhang_2020
208,B cell dividing,Chen_Zhang_2020_NSCLC-7,4,Chen_Zhang_2020
209,B cell dividing,Chen_Zhang_2020_NSCLC-11,0,Chen_Zhang_2020
210,B cell dividing,He_Fan_2021_LUAD1,0,He_Fan_2021
211,B cell dividing,He_Fan_2021_LUAD2,1,He_Fan_2021
212,B cell dividing,He_Fan_2021_LUAD3,1,He_Fan_2021
213,B cell dividing,He_Fan_2021_LUAD4,0,He_Fan_2021
214,B cell dividing,He_Fan_2021_LUAD5,4,He_Fan_2021
215,B cell dividing,Kim_Lee_2020_LUNG_T06,0,Kim_Lee_2020
216,B cell dividing,Kim_Lee_2020_LUNG_T08,2,Kim_Lee_2020
217,B cell dividing,Kim_Lee_2020_LUNG_T09,2,Kim_Lee_2020
218,B cell dividing,Kim_Lee_2020_LUNG_T18,0,Kim_Lee_2020
219,B cell dividing,Kim_Lee_2020_LUNG_T19,3,Kim_Lee_2020
220,B cell dividing,Kim_Lee_2020_LUNG_T20,0,Kim_Lee_2020
221,B cell dividing,Kim_Lee_2020_LUNG_T25,31,Kim_Lee_2020
222,B cell dividing,Kim_Lee_2020_LUNG_T30,0,Kim_Lee_2020
223,B cell dividing,Kim_Lee_2020_LUNG_T34,0,Kim_Lee_2020
224,B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT1A,0,Lambrechts_Thienpont_2018_6149v1
225,B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT1B,0,Lambrechts_Thienpont_2018_6149v1
226,B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT1C,0,Lambrechts_Thienpont_2018_6149v1
227,B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT2A,0,Lambrechts_Thienpont_2018_6149v1
228,B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT2B,1,Lambrechts_Thienpont_2018_6149v1
229,B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT1249,0,Lambrechts_Thienpont_2018_6149v1
230,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1295,2,Lambrechts_Thienpont_2018_6149v2
231,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1296,0,Lambrechts_Thienpont_2018_6149v2
232,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1297,0,Lambrechts_Thienpont_2018_6149v2
233,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1298,0,Lambrechts_Thienpont_2018_6149v2
234,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1299,1,Lambrechts_Thienpont_2018_6149v2
235,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1300,3,Lambrechts_Thienpont_2018_6149v2
236,B cell dividing,Lambrechts_Thienpont_2018_6653_BT1375,0,Lambrechts_Thienpont_2018_6653
237,B cell dividing,Lambrechts_Thienpont_2018_6653_BT1376,0,Lambrechts_Thienpont_2018_6653
238,B cell dividing,Lambrechts_Thienpont_2018_6653_BT1377,0,Lambrechts_Thienpont_2018_6653
239,B cell dividing,Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,0,Lambrechts_Thienpont_2018_6653
240,B cell dividing,Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,0,Lambrechts_Thienpont_2018_6653
241,B cell dividing,Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,0,Lambrechts_Thienpont_2018_6653
242,B cell dividing,Laughney_Massague_2020_GSM3516662,0,Laughney_Massague_2020
243,B cell dividing,Laughney_Massague_2020_GSM3516663,0,Laughney_Massague_2020
244,B cell dividing,Laughney_Massague_2020_GSM3516667,0,Laughney_Massague_2020
245,B cell dividing,Laughney_Massague_2020_GSM3516669,0,Laughney_Massague_2020
246,B cell dividing,Laughney_Massague_2020_GSM3516670,0,Laughney_Massague_2020
247,B cell dividing,Laughney_Massague_2020_GSM3516672,6,Laughney_Massague_2020
248,B cell dividing,Laughney_Massague_2020_GSM3516674,0,Laughney_Massague_2020
249,B cell dividing,Maynard_Bivona_2020_LT_S66,0,Maynard_Bivona_2020
250,B cell dividing,UKIM-V-2_P4_tumor_primary,1,UKIM-V-2
251,B cell dividing,UKIM-V-2_P5_tumor_primary,0,UKIM-V-2
252,B cell dividing,UKIM-V-2_P6_tumor_primary,1,UKIM-V-2
253,B cell dividing,UKIM-V-2_P8_tumor_primary,0,UKIM-V-2
254,B cell dividing,UKIM-V-2_P9_tumor_primary,5,UKIM-V-2
255,B cell dividing,UKIM-V-2_P10_tumor_primary,0,UKIM-V-2
256,B cell dividing,UKIM-V-2_P13_tumor_primary,0,UKIM-V-2
257,B cell dividing,UKIM-V-2_P14_tumor_primary,1,UKIM-V-2
258,B cell dividing,UKIM-V-2_P16_tumor_primary,0,UKIM-V-2
259,B cell dividing,UKIM-V-2_P17_tumor_primary,4,UKIM-V-2
260,B cell dividing,UKIM-V_P1_tumor_primary,0,UKIM-V
261,B cell dividing,UKIM-V_P2_tumor_primary,4,UKIM-V
262,B cell dividing,UKIM-V_P3_tumor_primary,0,UKIM-V
263,B cell dividing,Zilionis_Klein_2019_p1t1,0,Zilionis_Klein_2019
264,B cell dividing,Zilionis_Klein_2019_p1t2,0,Zilionis_Klein_2019
265,B cell dividing,Zilionis_Klein_2019_p1t3,0,Zilionis_Klein_2019
266,B cell dividing,Zilionis_Klein_2019_p1t4,0,Zilionis_Klein_2019
267,B cell dividing,Zilionis_Klein_2019_p4t1,0,Zilionis_Klein_2019
268,B cell dividing,Zilionis_Klein_2019_p4t2,0,Zilionis_Klein_2019
269,B cell dividing,Zilionis_Klein_2019_p4t3,0,Zilionis_Klein_2019
270,B cell dividing,Zilionis_Klein_2019_p6t1,2,Zilionis_Klein_2019
271,B cell dividing,Zilionis_Klein_2019_p6t2,0,Zilionis_Klein_2019
272,Ciliated,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
273,Ciliated,Chen_Zhang_2020_NSCLC-2,0,Chen_Zhang_2020
274,Ciliated,Chen_Zhang_2020_NSCLC-3,5,Chen_Zhang_2020
275,Ciliated,Chen_Zhang_2020_NSCLC-6,41,Chen_Zhang_2020
276,Ciliated,Chen_Zhang_2020_NSCLC-7,0,Chen_Zhang_2020
277,Ciliated,Chen_Zhang_2020_NSCLC-11,23,Chen_Zhang_2020
278,Ciliated,He_Fan_2021_LUAD1,30,He_Fan_2021
279,Ciliated,He_Fan_2021_LUAD2,67,He_Fan_2021
280,Ciliated,He_Fan_2021_LUAD3,417,He_Fan_2021
281,Ciliated,He_Fan_2021_LUAD4,148,He_Fan_2021
282,Ciliated,He_Fan_2021_LUAD5,223,He_Fan_2021
283,Ciliated,Kim_Lee_2020_LUNG_T06,6,Kim_Lee_2020
284,Ciliated,Kim_Lee_2020_LUNG_T08,0,Kim_Lee_2020
285,Ciliated,Kim_Lee_2020_LUNG_T09,1,Kim_Lee_2020
286,Ciliated,Kim_Lee_2020_LUNG_T18,5,Kim_Lee_2020
287,Ciliated,Kim_Lee_2020_LUNG_T19,10,Kim_Lee_2020
288,Ciliated,Kim_Lee_2020_LUNG_T20,0,Kim_Lee_2020
289,Ciliated,Kim_Lee_2020_LUNG_T25,7,Kim_Lee_2020
290,Ciliated,Kim_Lee_2020_LUNG_T30,32,Kim_Lee_2020
291,Ciliated,Kim_Lee_2020_LUNG_T34,3,Kim_Lee_2020
292,Ciliated,Lambrechts_Thienpont_2018_6149v1_BT1A,0,Lambrechts_Thienpont_2018_6149v1
293,Ciliated,Lambrechts_Thienpont_2018_6149v1_BT1B,0,Lambrechts_Thienpont_2018_6149v1
294,Ciliated,Lambrechts_Thienpont_2018_6149v1_BT1C,0,Lambrechts_Thienpont_2018_6149v1
295,Ciliated,Lambrechts_Thienpont_2018_6149v1_BT2A,0,Lambrechts_Thienpont_2018_6149v1
296,Ciliated,Lambrechts_Thienpont_2018_6149v1_BT2B,1,Lambrechts_Thienpont_2018_6149v1
297,Ciliated,Lambrechts_Thienpont_2018_6149v1_BT1249,0,Lambrechts_Thienpont_2018_6149v1
298,Ciliated,Lambrechts_Thienpont_2018_6149v2_BT1295,0,Lambrechts_Thienpont_2018_6149v2
299,Ciliated,Lambrechts_Thienpont_2018_6149v2_BT1296,2,Lambrechts_Thienpont_2018_6149v2
300,Ciliated,Lambrechts_Thienpont_2018_6149v2_BT1297,1,Lambrechts_Thienpont_2018_6149v2
301,Ciliated,Lambrechts_Thienpont_2018_6149v2_BT1298,11,Lambrechts_Thienpont_2018_6149v2
302,Ciliated,Lambrechts_Thienpont_2018_6149v2_BT1299,80,Lambrechts_Thienpont_2018_6149v2
