cell_type_tumor,sample,0
Alveolar cell type 1,Kim_Lee_2020_LUNG_T18,0
Alveolar cell type 1,Kim_Lee_2020_LUNG_T19,10
Alveolar cell type 1,Kim_Lee_2020_LUNG_T20,0
Alveolar cell type 1,Kim_Lee_2020_LUNG_T25,3
Alveolar cell type 1,Kim_Lee_2020_LUNG_T30,20
Alveolar cell type 1,Kim_Lee_2020_LUNG_T34,14
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT1A,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT1B,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT1C,1
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT2A,1
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT2B,4
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT1249,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1295,2
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1296,1
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1297,28
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1298,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1299,5
Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1300,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_BT1375,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_BT1376,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_BT1377,0
Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,19
Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,11
Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,7
Alveolar cell type 1,Laughney_Massague_2020_GSM3516662,0
Alveolar cell type 1,Laughney_Massague_2020_GSM3516663,0
Alveolar cell type 1,Laughney_Massague_2020_GSM3516667,0
Alveolar cell type 1,Laughney_Massague_2020_GSM3516669,0
Alveolar cell type 1,Laughney_Massague_2020_GSM3516670,0
Alveolar cell type 1,Laughney_Massague_2020_GSM3516672,0
Alveolar cell type 1,Laughney_Massague_2020_GSM3516674,1
Alveolar cell type 1,Maynard_Bivona_2020_LT_S66,2
Alveolar cell type 1,UKIM-V-2_P4_tumor_primary,0
Alveolar cell type 1,UKIM-V-2_P5_tumor_primary,0
Alveolar cell type 1,UKIM-V-2_P6_tumor_primary,1
Alveolar cell type 1,UKIM-V-2_P8_tumor_primary,0
Alveolar cell type 1,UKIM-V-2_P9_tumor_primary,0
Alveolar cell type 1,UKIM-V-2_P10_tumor_primary,5
Alveolar cell type 1,UKIM-V-2_P13_tumor_primary,11
Alveolar cell type 1,UKIM-V-2_P14_tumor_primary,3
Alveolar cell type 1,UKIM-V-2_P16_tumor_primary,5
Alveolar cell type 1,UKIM-V-2_P17_tumor_primary,0
Alveolar cell type 1,UKIM-V_P1_tumor_primary,2
Alveolar cell type 1,UKIM-V_P2_tumor_primary,2
Alveolar cell type 1,UKIM-V_P3_tumor_primary,6
Alveolar cell type 1,Zilionis_Klein_2019_p1t1,0
Alveolar cell type 1,Zilionis_Klein_2019_p1t2,0
Alveolar cell type 1,Zilionis_Klein_2019_p1t3,0
Alveolar cell type 1,Zilionis_Klein_2019_p1t4,1
Alveolar cell type 1,Zilionis_Klein_2019_p4t1,0
Alveolar cell type 1,Zilionis_Klein_2019_p4t2,1
Alveolar cell type 1,Zilionis_Klein_2019_p4t3,1
Alveolar cell type 1,Zilionis_Klein_2019_p6t1,0
Alveolar cell type 1,Zilionis_Klein_2019_p6t2,0
Alveolar cell type 2,Chen_Zhang_2020_NSCLC-1,0
Alveolar cell type 2,Chen_Zhang_2020_NSCLC-2,3
Alveolar cell type 2,Chen_Zhang_2020_NSCLC-3,1
Alveolar cell type 2,Chen_Zhang_2020_NSCLC-6,135
Alveolar cell type 2,Chen_Zhang_2020_NSCLC-7,0
Alveolar cell type 2,Chen_Zhang_2020_NSCLC-11,23
Alveolar cell type 2,Guo_Zhang_2018_P0616A_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P0616A_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P0616A_TTR,0
Alveolar cell type 2,Guo_Zhang_2018_P0616A_TTY,0
Alveolar cell type 2,Guo_Zhang_2018_P0616P_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P0616P_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P0706_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P0706_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P0706_TTR,0
Alveolar cell type 2,Guo_Zhang_2018_P0706_TTY,0
Alveolar cell type 2,Guo_Zhang_2018_P1010_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P1010_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P1010_TTR,0
Alveolar cell type 2,Guo_Zhang_2018_P1010_TTY,0
Alveolar cell type 2,Guo_Zhang_2018_P1118_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P1118_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P1120_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P1120_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P1120_TTR,0
Alveolar cell type 2,Guo_Zhang_2018_P1120_TTY,0
Alveolar cell type 2,Guo_Zhang_2018_P1202_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P1202_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P1202_TTR,0
Alveolar cell type 2,Guo_Zhang_2018_P1202_TTY,0
Alveolar cell type 2,Guo_Zhang_2018_P1208_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P1208_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P1219_TTC,0
Alveolar cell type 2,Guo_Zhang_2018_P1219_TTH,0
Alveolar cell type 2,Guo_Zhang_2018_P1219_TTY,0
Alveolar cell type 2,He_Fan_2021_LUAD1,51
Alveolar cell type 2,He_Fan_2021_LUAD2,38
Alveolar cell type 2,He_Fan_2021_LUAD3,19
Alveolar cell type 2,He_Fan_2021_LUAD4,427
Alveolar cell type 2,He_Fan_2021_LUAD5,72
Alveolar cell type 2,Kim_Lee_2020_LUNG_T06,26
Alveolar cell type 2,Kim_Lee_2020_LUNG_T08,13
Alveolar cell type 2,Kim_Lee_2020_LUNG_T09,72
Alveolar cell type 2,Kim_Lee_2020_LUNG_T18,0
Alveolar cell type 2,Kim_Lee_2020_LUNG_T19,104
Alveolar cell type 2,Kim_Lee_2020_LUNG_T20,51
Alveolar cell type 2,Kim_Lee_2020_LUNG_T25,60
Alveolar cell type 2,Kim_Lee_2020_LUNG_T30,295
Alveolar cell type 2,Kim_Lee_2020_LUNG_T34,89
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT1A,2
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT1B,0
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT1C,3
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT2A,3
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT2B,26
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v1_BT1249,0
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1295,4
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1296,18
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1297,18
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1298,1
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1299,10
Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1300,17
Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_BT1375,11
Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_BT1376,3
Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_BT1377,8
Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,15
Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,28
Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,21
Alveolar cell type 2,Laughney_Massague_2020_GSM3516662,10
Alveolar cell type 2,Laughney_Massague_2020_GSM3516663,12
Alveolar cell type 2,Laughney_Massague_2020_GSM3516667,0
Alveolar cell type 2,Laughney_Massague_2020_GSM3516669,2
Alveolar cell type 2,Laughney_Massague_2020_GSM3516670,1
Alveolar cell type 2,Laughney_Massague_2020_GSM3516672,1
Alveolar cell type 2,Laughney_Massague_2020_GSM3516674,24
Alveolar cell type 2,Maynard_Bivona_2020_LT_S66,25
Alveolar cell type 2,UKIM-V-2_P4_tumor_primary,1
Alveolar cell type 2,UKIM-V-2_P5_tumor_primary,1
Alveolar cell type 2,UKIM-V-2_P6_tumor_primary,2
Alveolar cell type 2,UKIM-V-2_P8_tumor_primary,5
Alveolar cell type 2,UKIM-V-2_P9_tumor_primary,64
Alveolar cell type 2,UKIM-V-2_P10_tumor_primary,10
Alveolar cell type 2,UKIM-V-2_P13_tumor_primary,18
Alveolar cell type 2,UKIM-V-2_P14_tumor_primary,29
Alveolar cell type 2,UKIM-V-2_P16_tumor_primary,46
Alveolar cell type 2,UKIM-V-2_P17_tumor_primary,0
Alveolar cell type 2,UKIM-V_P1_tumor_primary,5
Alveolar cell type 2,UKIM-V_P2_tumor_primary,54
Alveolar cell type 2,UKIM-V_P3_tumor_primary,20
Alveolar cell type 2,Zilionis_Klein_2019_p1t1,11
Alveolar cell type 2,Zilionis_Klein_2019_p1t2,13
Alveolar cell type 2,Zilionis_Klein_2019_p1t3,5
Alveolar cell type 2,Zilionis_Klein_2019_p1t4,8
Alveolar cell type 2,Zilionis_Klein_2019_p4t1,6
Alveolar cell type 2,Zilionis_Klein_2019_p4t2,6
Alveolar cell type 2,Zilionis_Klein_2019_p4t3,3
Alveolar cell type 2,Zilionis_Klein_2019_p6t1,48
Alveolar cell type 2,Zilionis_Klein_2019_p6t2,58
B cell,Chen_Zhang_2020_NSCLC-1,771
B cell,Chen_Zhang_2020_NSCLC-2,552
B cell,Chen_Zhang_2020_NSCLC-3,774
B cell,Chen_Zhang_2020_NSCLC-6,119
B cell,Chen_Zhang_2020_NSCLC-7,1841
B cell,Chen_Zhang_2020_NSCLC-11,246
B cell,Guo_Zhang_2018_P0616A_TTC,0
B cell,Guo_Zhang_2018_P0616A_TTH,0
B cell,Guo_Zhang_2018_P0616A_TTR,0
B cell,Guo_Zhang_2018_P0616A_TTY,0
B cell,Guo_Zhang_2018_P0616P_TTC,0
B cell,Guo_Zhang_2018_P0616P_TTH,0
B cell,Guo_Zhang_2018_P0706_TTC,0
B cell,Guo_Zhang_2018_P0706_TTH,0
B cell,Guo_Zhang_2018_P0706_TTR,0
B cell,Guo_Zhang_2018_P0706_TTY,0
B cell,Guo_Zhang_2018_P1010_TTC,0
B cell,Guo_Zhang_2018_P1010_TTH,0
B cell,Guo_Zhang_2018_P1010_TTR,0
B cell,Guo_Zhang_2018_P1010_TTY,0
B cell,Guo_Zhang_2018_P1118_TTC,0
B cell,Guo_Zhang_2018_P1118_TTH,0
B cell,Guo_Zhang_2018_P1120_TTC,0
B cell,Guo_Zhang_2018_P1120_TTH,0
B cell,Guo_Zhang_2018_P1120_TTR,0
B cell,Guo_Zhang_2018_P1120_TTY,0
B cell,Guo_Zhang_2018_P1202_TTC,0
B cell,Guo_Zhang_2018_P1202_TTH,0
B cell,Guo_Zhang_2018_P1202_TTR,0
B cell,Guo_Zhang_2018_P1202_TTY,0
B cell,Guo_Zhang_2018_P1208_TTC,0
B cell,Guo_Zhang_2018_P1208_TTH,0
B cell,Guo_Zhang_2018_P1219_TTC,0
B cell,Guo_Zhang_2018_P1219_TTH,0
B cell,Guo_Zhang_2018_P1219_TTY,0
B cell,He_Fan_2021_LUAD1,89
B cell,He_Fan_2021_LUAD2,237
B cell,He_Fan_2021_LUAD3,44
B cell,He_Fan_2021_LUAD4,22
B cell,He_Fan_2021_LUAD5,324
B cell,Kim_Lee_2020_LUNG_T06,455
B cell,Kim_Lee_2020_LUNG_T08,702
B cell,Kim_Lee_2020_LUNG_T09,80
B cell,Kim_Lee_2020_LUNG_T18,237
B cell,Kim_Lee_2020_LUNG_T19,361
B cell,Kim_Lee_2020_LUNG_T20,48
B cell,Kim_Lee_2020_LUNG_T25,1299
B cell,Kim_Lee_2020_LUNG_T30,51
B cell,Kim_Lee_2020_LUNG_T34,19
B cell,Lambrechts_Thienpont_2018_6149v1_BT1A,4
B cell,Lambrechts_Thienpont_2018_6149v1_BT1B,4
B cell,Lambrechts_Thienpont_2018_6149v1_BT1C,24
B cell,Lambrechts_Thienpont_2018_6149v1_BT2A,16
B cell,Lambrechts_Thienpont_2018_6149v1_BT2B,127
B cell,Lambrechts_Thienpont_2018_6149v1_BT1249,0
B cell,Lambrechts_Thienpont_2018_6149v2_BT1295,80
B cell,Lambrechts_Thienpont_2018_6149v2_BT1296,163
B cell,Lambrechts_Thienpont_2018_6149v2_BT1297,125
B cell,Lambrechts_Thienpont_2018_6149v2_BT1298,195
B cell,Lambrechts_Thienpont_2018_6149v2_BT1299,610
B cell,Lambrechts_Thienpont_2018_6149v2_BT1300,232
B cell,Lambrechts_Thienpont_2018_6653_BT1375,248
B cell,Lambrechts_Thienpont_2018_6653_BT1376,88
B cell,Lambrechts_Thienpont_2018_6653_BT1377,69
B cell,Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,34
B cell,Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,31
B cell,Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,30
B cell,Laughney_Massague_2020_GSM3516662,0
B cell,Laughney_Massague_2020_GSM3516663,79
B cell,Laughney_Massague_2020_GSM3516667,688
B cell,Laughney_Massague_2020_GSM3516669,18
B cell,Laughney_Massague_2020_GSM3516670,20
B cell,Laughney_Massague_2020_GSM3516672,600
B cell,Laughney_Massague_2020_GSM3516674,11
B cell,Maynard_Bivona_2020_LT_S66,9
B cell,UKIM-V-2_P4_tumor_primary,69
B cell,UKIM-V-2_P5_tumor_primary,236
B cell,UKIM-V-2_P6_tumor_primary,66
B cell,UKIM-V-2_P8_tumor_primary,4
B cell,UKIM-V-2_P9_tumor_primary,138
B cell,UKIM-V-2_P10_tumor_primary,350
B cell,UKIM-V-2_P13_tumor_primary,28
B cell,UKIM-V-2_P14_tumor_primary,610
B cell,UKIM-V-2_P16_tumor_primary,103
B cell,UKIM-V-2_P17_tumor_primary,266
B cell,UKIM-V_P1_tumor_primary,82
B cell,UKIM-V_P2_tumor_primary,93
B cell,UKIM-V_P3_tumor_primary,132
B cell,Zilionis_Klein_2019_p1t1,69
B cell,Zilionis_Klein_2019_p1t2,60
B cell,Zilionis_Klein_2019_p1t3,37
B cell,Zilionis_Klein_2019_p1t4,48
B cell,Zilionis_Klein_2019_p4t1,43
B cell,Zilionis_Klein_2019_p4t2,29
B cell,Zilionis_Klein_2019_p4t3,33
B cell,Zilionis_Klein_2019_p6t1,314
B cell,Zilionis_Klein_2019_p6t2,272
B cell dividing,Chen_Zhang_2020_NSCLC-1,1
B cell dividing,Chen_Zhang_2020_NSCLC-2,0
B cell dividing,Chen_Zhang_2020_NSCLC-3,0
B cell dividing,Chen_Zhang_2020_NSCLC-6,0
B cell dividing,Chen_Zhang_2020_NSCLC-7,4
B cell dividing,Chen_Zhang_2020_NSCLC-11,0
B cell dividing,Guo_Zhang_2018_P0616A_TTC,0
B cell dividing,Guo_Zhang_2018_P0616A_TTH,0
B cell dividing,Guo_Zhang_2018_P0616A_TTR,0
B cell dividing,Guo_Zhang_2018_P0616A_TTY,0
B cell dividing,Guo_Zhang_2018_P0616P_TTC,0
B cell dividing,Guo_Zhang_2018_P0616P_TTH,0
B cell dividing,Guo_Zhang_2018_P0706_TTC,0
B cell dividing,Guo_Zhang_2018_P0706_TTH,0
B cell dividing,Guo_Zhang_2018_P0706_TTR,0
B cell dividing,Guo_Zhang_2018_P0706_TTY,0
B cell dividing,Guo_Zhang_2018_P1010_TTC,0
B cell dividing,Guo_Zhang_2018_P1010_TTH,0
B cell dividing,Guo_Zhang_2018_P1010_TTR,0
B cell dividing,Guo_Zhang_2018_P1010_TTY,0
B cell dividing,Guo_Zhang_2018_P1118_TTC,0
B cell dividing,Guo_Zhang_2018_P1118_TTH,0
B cell dividing,Guo_Zhang_2018_P1120_TTC,0
B cell dividing,Guo_Zhang_2018_P1120_TTH,0
B cell dividing,Guo_Zhang_2018_P1120_TTR,0
B cell dividing,Guo_Zhang_2018_P1120_TTY,0
B cell dividing,Guo_Zhang_2018_P1202_TTC,0
B cell dividing,Guo_Zhang_2018_P1202_TTH,0
B cell dividing,Guo_Zhang_2018_P1202_TTR,0
B cell dividing,Guo_Zhang_2018_P1202_TTY,0
B cell dividing,Guo_Zhang_2018_P1208_TTC,0
B cell dividing,Guo_Zhang_2018_P1208_TTH,0
B cell dividing,Guo_Zhang_2018_P1219_TTC,0
B cell dividing,Guo_Zhang_2018_P1219_TTH,0
B cell dividing,Guo_Zhang_2018_P1219_TTY,0
B cell dividing,He_Fan_2021_LUAD1,0
B cell dividing,He_Fan_2021_LUAD2,1
B cell dividing,He_Fan_2021_LUAD3,1
B cell dividing,He_Fan_2021_LUAD4,0
B cell dividing,He_Fan_2021_LUAD5,4
B cell dividing,Kim_Lee_2020_LUNG_T06,0
B cell dividing,Kim_Lee_2020_LUNG_T08,2
B cell dividing,Kim_Lee_2020_LUNG_T09,2
B cell dividing,Kim_Lee_2020_LUNG_T18,0
B cell dividing,Kim_Lee_2020_LUNG_T19,3
B cell dividing,Kim_Lee_2020_LUNG_T20,0
B cell dividing,Kim_Lee_2020_LUNG_T25,31
B cell dividing,Kim_Lee_2020_LUNG_T30,0
B cell dividing,Kim_Lee_2020_LUNG_T34,0
B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT1A,0
B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT1B,0
B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT1C,0
B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT2A,0
B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT2B,1
B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT1249,0
B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1295,2
B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1296,0
B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1297,0
B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1298,0
B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1299,1
B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1300,3
B cell dividing,Lambrechts_Thienpont_2018_6653_BT1375,0
B cell dividing,Lambrechts_Thienpont_2018_6653_BT1376,0
B cell dividing,Lambrechts_Thienpont_2018_6653_BT1377,0
B cell dividing,Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,0
B cell dividing,Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,0
B cell dividing,Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,0
B cell dividing,Laughney_Massague_2020_GSM3516662,0
B cell dividing,Laughney_Massague_2020_GSM3516663,0
B cell dividing,Laughney_Massague_2020_GSM3516667,0
B cell dividing,Laughney_Massague_2020_GSM3516669,0
B cell dividing,Laughney_Massague_2020_GSM3516670,0
B cell dividing,Laughney_Massague_2020_GSM3516672,6
B cell dividing,Laughney_Massague_2020_GSM3516674,0
B cell dividing,Maynard_Bivona_2020_LT_S66,0
B cell dividing,UKIM-V-2_P4_tumor_primary,1
B cell dividing,UKIM-V-2_P5_tumor_primary,0
B cell dividing,UKIM-V-2_P6_tumor_primary,1
B cell dividing,UKIM-V-2_P8_tumor_primary,0
B cell dividing,UKIM-V-2_P9_tumor_primary,5
B cell dividing,UKIM-V-2_P10_tumor_primary,0
B cell dividing,UKIM-V-2_P13_tumor_primary,0
B cell dividing,UKIM-V-2_P14_tumor_primary,1
B cell dividing,UKIM-V-2_P16_tumor_primary,0
B cell dividing,UKIM-V-2_P17_tumor_primary,4
B cell dividing,UKIM-V_P1_tumor_primary,0
B cell dividing,UKIM-V_P2_tumor_primary,4
B cell dividing,UKIM-V_P3_tumor_primary,0
B cell dividing,Zilionis_Klein_2019_p1t1,0
B cell dividing,Zilionis_Klein_2019_p1t2,0
B cell dividing,Zilionis_Klein_2019_p1t3,0
B cell dividing,Zilionis_Klein_2019_p1t4,0
B cell dividing,Zilionis_Klein_2019_p4t1,0
B cell dividing,Zilionis_Klein_2019_p4t2,0
B cell dividing,Zilionis_Klein_2019_p4t3,0
B cell dividing,Zilionis_Klein_2019_p6t1,2
B cell dividing,Zilionis_Klein_2019_p6t2,0
Ciliated,Chen_Zhang_2020_NSCLC-1,0
Ciliated,Chen_Zhang_2020_NSCLC-2,0
Ciliated,Chen_Zhang_2020_NSCLC-3,5
Ciliated,Chen_Zhang_2020_NSCLC-6,41
Ciliated,Chen_Zhang_2020_NSCLC-7,0
Ciliated,Chen_Zhang_2020_NSCLC-11,23
Ciliated,Guo_Zhang_2018_P0616A_TTC,0
Ciliated,Guo_Zhang_2018_P0616A_TTH,0
Ciliated,Guo_Zhang_2018_P0616A_TTR,0
Ciliated,Guo_Zhang_2018_P0616A_TTY,0
Ciliated,Guo_Zhang_2018_P0616P_TTC,0
Ciliated,Guo_Zhang_2018_P0616P_TTH,0
Ciliated,Guo_Zhang_2018_P0706_TTC,0
Ciliated,Guo_Zhang_2018_P0706_TTH,0
Ciliated,Guo_Zhang_2018_P0706_TTR,0
Ciliated,Guo_Zhang_2018_P0706_TTY,0
Ciliated,Guo_Zhang_2018_P1010_TTC,0
Ciliated,Guo_Zhang_2018_P1010_TTH,0
Ciliated,Guo_Zhang_2018_P1010_TTR,0
Ciliated,Guo_Zhang_2018_P1010_TTY,0
Ciliated,Guo_Zhang_2018_P1118_TTC,0
Ciliated,Guo_Zhang_2018_P1118_TTH,0
Ciliated,Guo_Zhang_2018_P1120_TTC,0
Ciliated,Guo_Zhang_2018_P1120_TTH,0
Ciliated,Guo_Zhang_2018_P1120_TTR,0
Ciliated,Guo_Zhang_2018_P1120_TTY,0
Ciliated,Guo_Zhang_2018_P1202_TTC,0
Ciliated,Guo_Zhang_2018_P1202_TTH,0
Ciliated,Guo_Zhang_2018_P1202_TTR,1
Ciliated,Guo_Zhang_2018_P1202_TTY,0
Ciliated,Guo_Zhang_2018_P1208_TTC,0
Ciliated,Guo_Zhang_2018_P1208_TTH,0
Ciliated,Guo_Zhang_2018_P1219_TTC,0
Ciliated,Guo_Zhang_2018_P1219_TTH,0
Ciliated,Guo_Zhang_2018_P1219_TTY,0
Ciliated,He_Fan_2021_LUAD1,30
Ciliated,He_Fan_2021_LUAD2,67
Ciliated,He_Fan_2021_LUAD3,417
Ciliated,He_Fan_2021_LUAD4,148
Ciliated,He_Fan_2021_LUAD5,223
Ciliated,Kim_Lee_2020_LUNG_T06,6
Ciliated,Kim_Lee_2020_LUNG_T08,0
Ciliated,Kim_Lee_2020_LUNG_T09,1
Ciliated,Kim_Lee_2020_LUNG_T18,5
Ciliated,Kim_Lee_2020_LUNG_T19,10
Ciliated,Kim_Lee_2020_LUNG_T20,0
Ciliated,Kim_Lee_2020_LUNG_T25,7
Ciliated,Kim_Lee_2020_LUNG_T30,32
Ciliated,Kim_Lee_2020_LUNG_T34,3
Ciliated,Lambrechts_Thienpont_2018_6149v1_BT1A,0
Ciliated,Lambrechts_Thienpont_2018_6149v1_BT1B,0
Ciliated,Lambrechts_Thienpont_2018_6149v1_BT1C,0
Ciliated,Lambrechts_Thienpont_2018_6149v1_BT2A,0
Ciliated,Lambrechts_Thienpont_2018_6149v1_BT2B,1
Ciliated,Lambrechts_Thienpont_2018_6149v1_BT1249,0
Ciliated,Lambrechts_Thienpont_2018_6149v2_BT1295,0
Ciliated,Lambrechts_Thienpont_2018_6149v2_BT1296,2
Ciliated,Lambrechts_Thienpont_2018_6149v2_BT1297,1
Ciliated,Lambrechts_Thienpont_2018_6149v2_BT1298,11
Ciliated,Lambrechts_Thienpont_2018_6149v2_BT1299,80
Ciliated,Lambrechts_Thienpont_2018_6149v2_BT1300,59
Ciliated,Lambrechts_Thienpont_2018_6653_BT1375,30
Ciliated,Lambrechts_Thienpont_2018_6653_BT1376,1
Ciliated,Lambrechts_Thienpont_2018_6653_BT1377,2
Ciliated,Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,0
Ciliated,Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,0
Ciliated,Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,0
Ciliated,Laughney_Massague_2020_GSM3516662,0
Ciliated,Laughney_Massague_2020_GSM3516663,5
Ciliated,Laughney_Massague_2020_GSM3516667,14
