	BD_immune01	BD_immune02	BD_immune03	BD_immune04	BD_immune05	BD_immune06	BD_immune07	BD_immune08	BD_immune09	BD_immune10	BD_immune11	BD_immune12	BD_immune13	BD_immune14	BD_immune15	Chen_Zhang_2020_NSCLC-10	Chen_Zhang_2020_NSCLC-4	Chen_Zhang_2020_NSCLC-5	Chen_Zhang_2020_NSCLC-8	Chen_Zhang_2020_NSCLC-9	Kim_Lee_2020_BRONCHO_58	Kim_Lee_2020_EBUS_06	Kim_Lee_2020_EBUS_28	Kim_Lee_2020_EBUS_49	Kim_Lee_2020_LUNG_T28	Kim_Lee_2020_LUNG_T31	Lambrechts_Thienpont_2018_6149v2_BT1290	Lambrechts_Thienpont_2018_6149v2_BT1291	Lambrechts_Thienpont_2018_6149v2_BT1292	Lambrechts_Thienpont_2018_6653_scrBT1430m	Lambrechts_Thienpont_2018_6653_scrBT1431m	Lambrechts_Thienpont_2018_6653_scrBT1432m	Laughney_Massague_2020_GSM3516665	Maynard_Bivona_2020_LT_S01	Maynard_Bivona_2020_LT_S11	Maynard_Bivona_2020_LT_S42	Maynard_Bivona_2020_LT_S52	Maynard_Bivona_2020_LT_S56	Maynard_Bivona_2020_LT_S57	Maynard_Bivona_2020_LT_S58	Maynard_Bivona_2020_LT_S67	Maynard_Bivona_2020_LT_S71	Maynard_Bivona_2020_LT_S74	Maynard_Bivona_2020_LT_S79	Maynard_Bivona_2020_LT_S82	P044	P045	P046	P047	P048	P049	UKIM-V-2_P11_tumor_primary	UKIM-V-2_P12_tumor_primary	UKIM-V-2_P15_tumor_primary	UKIM-V-2_P7_tumor_primary	Wu_Zhou_2021_GSM4453576	Wu_Zhou_2021_GSM4453577	Wu_Zhou_2021_GSM4453578	Wu_Zhou_2021_GSM4453579	Wu_Zhou_2021_GSM4453580	Wu_Zhou_2021_GSM4453581	Wu_Zhou_2021_GSM4453582	Wu_Zhou_2021_GSM4453583	Wu_Zhou_2021_GSM4453584	Wu_Zhou_2021_GSM4453585	Wu_Zhou_2021_GSM4453586	Wu_Zhou_2021_GSM4453587	Wu_Zhou_2021_GSM4453588	Wu_Zhou_2021_GSM4453589	Wu_Zhou_2021_GSM4453590	Wu_Zhou_2021_GSM4453591	Wu_Zhou_2021_GSM4453592	Wu_Zhou_2021_GSM4453593	Wu_Zhou_2021_GSM4453594	Wu_Zhou_2021_GSM4453595	Wu_Zhou_2021_GSM4453596	Wu_Zhou_2021_GSM4453597	Wu_Zhou_2021_GSM4453598	Wu_Zhou_2021_GSM4453599	Wu_Zhou_2021_GSM4453600	Wu_Zhou_2021_GSM4453601	Wu_Zhou_2021_GSM4453602	Wu_Zhou_2021_GSM4453603	Wu_Zhou_2021_GSM4453604	Wu_Zhou_2021_GSM4453605	Wu_Zhou_2021_GSM4453606	Wu_Zhou_2021_GSM4453607	Wu_Zhou_2021_GSM4453608	Wu_Zhou_2021_GSM4453609	Wu_Zhou_2021_GSM4453610	Wu_Zhou_2021_GSM4453611	Wu_Zhou_2021_GSM4453612	Wu_Zhou_2021_GSM4453613	Wu_Zhou_2021_GSM4453614	Wu_Zhou_2021_GSM4453615	Wu_Zhou_2021_GSM4453616	Wu_Zhou_2021_GSM4453617	Zilionis_Klein_2019_p2t1	Zilionis_Klein_2019_p2t2	Zilionis_Klein_2019_p3t1	Zilionis_Klein_2019_p3t2	Zilionis_Klein_2019_p3t3	Zilionis_Klein_2019_p5t1	Zilionis_Klein_2019_p5t2	Zilionis_Klein_2019_p7t1	Zilionis_Klein_2019_p7t2	p019t	p030t	p033t
Fibroblast peribronchial	12.0	0.0	9.0	25.0	14.0	2.0	159.0	374.0	17.0	50.0	0.0	0.0	4.0	2.0	3.0	8.0	11.0	6.0	3.0	0.0	33.0	0.0	0.0	0.0	20.0	62.0	56.0	77.0	11.0	4.0	0.0	6.0	189.0	6.0	0.0	0.0	3.0	0.0	20.0	2.0	0.0	41.0	10.0	2.0	26.0	60.0	34.0	128.0	532.0	46.0	68.0	2.0	11.0	27.0	0.0	109.0	0.0	14.0	837.0	5.0	27.0	23.0	4.0	307.0	412.0	33.0	13.0	11.0	26.0	5.0	11.0	10.0	103.0	0.0	0.0	0.0	27.0	136.0	3.0	114.0	8.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	143.0	0.0	0.0	2.0	13.0	17.0	12.0	10.0	14.0	9.0	6.0	8.0	37.0	27.0
Macrophage	778.0	32.0	402.0	701.0	162.0	473.0	996.0	294.0	705.0	889.0	207.0	614.0	2677.0	95.0	2478.0	586.0	43.0	90.0	2117.0	0.0	189.0	123.0	43.0	40.0	553.0	183.0	518.0	277.0	364.0	82.0	64.0	32.0	290.0	6.0	3.0	0.0	59.0	0.0	63.0	60.0	4.0	34.0	38.0	32.0	99.0	629.0	1145.0	264.0	473.0	243.0	200.0	500.0	215.0	338.0	128.0	587.0	8.0	29.0	1004.0	290.0	143.0	272.0	273.0	146.0	163.0	128.0	42.0	172.0	113.0	49.0	69.0	6.0	300.0	7.0	9.0	33.0	70.0	103.0	36.0	21.0	8.0	40.0	607.0	63.0	133.0	19.0	32.0	24.0	202.0	45.0	22.0	1039.0	401.0	238.0	8.0	116.0	54.0	9.0	9.0	59.0	79.0	85.0	133.0	139.0	297.0	369.0	194.0	151.0	261.0
Macrophage alveolar	0.0	9.0	50.0	385.0	2.0	170.0	119.0	26.0	7.0	13.0	572.0	7.0	2.0	138.0	978.0	134.0	6.0	15.0	1523.0	0.0	35.0	4.0	5.0	4.0	108.0	40.0	35.0	22.0	38.0	0.0	8.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	2.0	0.0	0.0	2.0	9.0	31.0	94.0	39.0	37.0	69.0	24.0	17.0	13.0	10.0	279.0	7.0	0.0	2.0	13.0	15.0	26.0	9.0	20.0	6.0	7.0	7.0	8.0	16.0	0.0	58.0	30.0	3.0	43.0	0.0	0.0	4.0	11.0	15.0	8.0	11.0	0.0	13.0	50.0	2.0	0.0	0.0	3.0	0.0	6.0	9.0	6.0	53.0	26.0	47.0	0.0	4.0	5.0	0.0	5.0	35.0	24.0	31.0	93.0	66.0	203.0	201.0	19.0	13.0	57.0
Mast cell	44.0	7.0	68.0	60.0	8.0	85.0	144.0	180.0	13.0	27.0	28.0	70.0	12.0	54.0	51.0	166.0	19.0	16.0	178.0	0.0	51.0	0.0	35.0	2.0	148.0	103.0	63.0	50.0	30.0	24.0	41.0	3.0	180.0	3.0	6.0	0.0	21.0	5.0	63.0	52.0	0.0	74.0	12.0	42.0	28.0	426.0	262.0	435.0	143.0	137.0	448.0	15.0	19.0	26.0	10.0	10.0	7.0	2.0	18.0	0.0	0.0	76.0	74.0	10.0	3.0	0.0	41.0	13.0	13.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	10.0	19.0	31.0	0.0	8.0	5.0	89.0	0.0	0.0	0.0	7.0	2.0	0.0	56.0	0.0	19.0	28.0	16.0	51.0	2.0	5.0	2.0	4.0	43.0	58.0	51.0	8.0	12.0	72.0	71.0	23.0	48.0	137.0
Mesothelial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	9.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
Monocyte classical	211.0	53.0	74.0	125.0	60.0	137.0	589.0	169.0	168.0	264.0	97.0	154.0	763.0	98.0	147.0	146.0	5.0	32.0	247.0	3.0	97.0	185.0	26.0	182.0	93.0	31.0	98.0	84.0	116.0	43.0	29.0	5.0	32.0	0.0	0.0	0.0	10.0	13.0	67.0	186.0	4.0	27.0	27.0	27.0	43.0	419.0	287.0	109.0	125.0	221.0	106.0	74.0	54.0	124.0	64.0	34.0	0.0	17.0	59.0	109.0	130.0	185.0	24.0	13.0	36.0	48.0	18.0	34.0	6.0	139.0	22.0	0.0	45.0	42.0	0.0	2.0	16.0	18.0	8.0	13.0	3.0	38.0	94.0	14.0	5.0	3.0	6.0	0.0	142.0	6.0	54.0	110.0	196.0	37.0	70.0	4.0	26.0	13.0	6.0	80.0	73.0	84.0	69.0	55.0	217.0	242.0	42.0	54.0	123.0
Monocyte non-classical	4.0	7.0	7.0	28.0	0.0	37.0	0.0	0.0	6.0	0.0	23.0	5.0	5.0	29.0	26.0	12.0	0.0	0.0	9.0	0.0	2.0	10.0	0.0	14.0	3.0	0.0	9.0	10.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	7.0	3.0	5.0	32.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
NK cell	139.0	53.0	82.0	315.0	39.0	317.0	72.0	73.0	36.0	99.0	282.0	112.0	70.0	189.0	371.0	407.0	208.0	201.0	621.0	0.0	175.0	126.0	30.0	357.0	114.0	251.0	88.0	96.0	48.0	103.0	51.0	39.0	54.0	0.0	0.0	5.0	0.0	2.0	19.0	4.0	0.0	5.0	28.0	0.0	14.0	565.0	116.0	97.0	233.0	316.0	408.0	446.0	748.0	80.0	365.0	0.0	0.0	0.0	3.0	0.0	5.0	35.0	0.0	2.0	0.0	5.0	10.0	2.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	31.0	0.0	2.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	26.0	2.0	38.0	0.0	8.0	0.0	2.0	38.0	43.0	40.0	0.0	4.0	17.0	16.0	42.0	129.0	93.0
NK cell dividing	7.0	2.0	3.0	3.0	9.0	7.0	4.0	2.0	0.0	6.0	3.0	13.0	0.0	5.0	17.0	9.0	0.0	10.0	17.0	0.0	0.0	2.0	0.0	8.0	0.0	8.0	0.0	3.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	2.0	0.0	109.0	3.0	0.0	12.0	7.0	2.0	4.0	14.0	0.0	3.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	8.0	0.0
Neutrophils	2004.0	227.0	135.0	572.0	80.0	531.0	3.0	184.0	62.0	520.0	313.0	1911.0	1606.0	170.0	1503.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	60.0	90.0	0.0	27.0	2.0	0.0	0.0	13.0	160.0	419.0	22.0	4.0	610.0	41.0	60.0	28.0	103.0	177.0	0.0	0.0	0.0	10.0	0.0	8.0	6.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	73.0	0.0	0.0	29.0	0.0	7.0	0.0	98.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	53.0	590.0	0.0	2.0	83.0	0.0	19.0	7.0	7.0	138.0	163.0	122.0	0.0	3.0	362.0	229.0	0.0	2.0	47.0
