types	BD_immune01	Lambrechts_Thienpont_2018_6149v2_BT1290	Lambrechts_Thienpont_2018_6149v2_BT1291	Lambrechts_Thienpont_2018_6149v2_BT1292	Laughney_Massague_2020_GSM3516665	Maynard_Bivona_2020_LT_S01	Maynard_Bivona_2020_LT_S52	Maynard_Bivona_2020_LT_S56	Maynard_Bivona_2020_LT_S57	Maynard_Bivona_2020_LT_S58	Maynard_Bivona_2020_LT_S67	Maynard_Bivona_2020_LT_S71	Maynard_Bivona_2020_LT_S82	P23_T1	UKIM-V-2_P11_tumor_primary	UKIM-V-2_P15_tumor_primary	Zilionis_Klein_2019_p5t1	Zilionis_Klein_2019_p7t1	Zilionis_Klein_2019_p7t2	p019t	Kim_Lee_2020_LUNG_T28	Kim_Lee_2020_EBUS_28	Maynard_Bivona_2020_LT_S11	BD_immune07	BD_immune12	BD_immune13	BD_immune15	BD_immune05	Kim_Lee_2020_EBUS_06	Kim_Lee_2020_BRONCHO_58	Chen_Zhang_2020_NSCLC-8
T cell CD4	72.0	373.0	335.0	325.0	268.0	0.0	0.0	3.0	62.0	74.0	0.0	46.0	57.0	1341.0	926.0	506.0	70.0	103.0	73.0	157.0	485.0	71.0	3.0	326.0	361.0	504.0	438.0	276.0	213.0	277.0	1085.0
T cell CD4 dividing	4.0	7.0	6.0	3.0	14.0	0.0	0.0	0.0	0.0	14.0	0.0	3.0	7.0	39.0	16.0	23.0	0.0	0.0	7.0	2.0	7.0	7.0	0.0	88.0	50.0	48.0	25.0	17.0	0.0	8.0	28.0
T cell CD8 activated	176.0	5.0	4.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	27.0	16.0	48.0	0.0	20.0	16.0	87.0	25.0	3.0	0.0	214.0	69.0	51.0	98.0	42.0	2.0	5.0	19.0
T cell CD8 dividing	2.0	31.0	36.0	12.0	7.0	0.0	0.0	0.0	3.0	32.0	0.0	0.0	4.0	21.0	10.0	47.0	0.0	0.0	0.0	2.0	32.0	5.0	0.0	14.0	48.0	16.0	14.0	39.0	6.0	14.0	21.0
T cell CD8 effector memory	212.0	257.0	272.0	204.0	159.0	0.0	0.0	0.0	37.0	17.0	0.0	54.0	62.0	353.0	648.0	410.0	2.0	30.0	31.0	58.0	317.0	43.0	3.0	236.0	402.0	275.0	338.0	94.0	34.0	255.0	531.0
T cell CD8 naive	11.0	21.0	64.0	9.0	26.0	0.0	0.0	0.0	8.0	10.0	0.0	7.0	0.0	20.0	39.0	82.0	0.0	0.0	0.0	4.0	42.0	11.0	0.0	0.0	3.0	3.0	3.0	3.0	93.0	91.0	11.0
T cell CD8 terminally exhausted	2.0	320.0	397.0	127.0	41.0	0.0	0.0	0.0	4.0	4.0	0.0	5.0	5.0	26.0	107.0	209.0	0.0	0.0	0.0	3.0	268.0	13.0	0.0	34.0	194.0	134.0	26.0	85.0	22.0	217.0	136.0
T cell NK-like	27.0	59.0	57.0	26.0	10.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	30.0	86.0	123.0	0.0	0.0	0.0	12.0	71.0	10.0	0.0	0.0	6.0	16.0	110.0	10.0	81.0	94.0	63.0
T cell regulatory	31.0	150.0	253.0	54.0	216.0	0.0	0.0	0.0	5.0	9.0	0.0	16.0	20.0	288.0	176.0	292.0	8.0	35.0	35.0	32.0	172.0	34.0	3.0	101.0	232.0	232.0	96.0	201.0	13.0	321.0	322.0
Tumor IS_Secretory	5.0	25.0	6.0	5.0	3.0	2.0	5.0	53.0	288.0	27.0	0.0	55.0	0.0	12.0	9.0	12.0	2.0	34.0	37.0	45.0	189.0	5.0	0.0	523.0	42.0	33.0	378.0	5.0	0.0	7.0	181.0
Tumor Mesothelin+_Sec	0.0	39.0	20.0	11.0	126.0	2.0	4.0	0.0	170.0	57.0	2.0	95.0	9.0	2483.0	4.0	4.0	150.0	2.0	4.0	7.0	5.0	10.0	136.0	5.0	3.0	0.0	13.0	0.0	0.0	0.0	2813.0
Tumor HP_LUAD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	255.0	0.0	0.0
Tumor EMT	0.0	5.0	11.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	23.0	0.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
Tumor ASP	469.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4828.0	0.0	0.0	0.0	3.0	28.0	0.0	0.0
Tumor Glyco+	7.0	221.0	303.0	290.0	14.0	0.0	10.0	0.0	6.0	2.0	0.0	4.0	8.0	192.0	693.0	335.0	102.0	3.0	3.0	312.0	617.0	2339.0	0.0	4.0	335.0	0.0	4.0	1449.0	4.0	315.0	362.0
Tumor ROS1+	3.0	0.0	7.0	12.0	29.0	0.0	0.0	12.0	12.0	0.0	0.0	0.0	41.0	113.0	12.0	3.0	4.0	6.0	12.0	268.0	13.0	14.0	0.0	28.0	10.0	0.0	2.0	7.0	371.0	0.0	44.0
Tumor Cycling_Epi	0.0	74.0	32.0	22.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	58.0	25.0	16.0	5.0	205.0	201.0	13.0	44.0	228.0	0.0	3.0	4.0	0.0	3.0	0.0	0.0	15.0	444.0
Tumor Plastic_AS_NE	66.0	5.0	8.0	30.0	4.0	0.0	0.0	24.0	8.0	0.0	0.0	0.0	0.0	11.0	4.0	7.0	0.0	2.0	2.0	6.0	4.0	5.0	0.0	12.0	2.0	0.0	0.0	6.0	11.0	0.0	4.0
Tumor NE_HPA	44.0	10.0	38.0	52.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	74.0	0.0	0.0	0.0	4.0	3.0	6.0	0.0	53.0	50.0	0.0	0.0	10.0	34.0	0.0	7.0
Tumor Inv_Stem	99.0	0.0	0.0	3.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	14.0	5.0	0.0	0.0	11.0	3.0	0.0	3.0	8.0	0.0	0.0	0.0
cDC1	0.0	8.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	3.0	6.0	0.0	0.0	2.0	0.0	6.0	0.0	0.0	4.0	4.0	6.0	0.0	0.0	0.0	5.0	15.0
cDC2	0.0	79.0	65.0	55.0	181.0	0.0	5.0	2.0	8.0	44.0	0.0	18.0	8.0	3086.0	39.0	69.0	25.0	36.0	26.0	16.0	29.0	23.0	0.0	54.0	28.0	104.0	45.0	3.0	0.0	42.0	1128.0
myeloid dividing	23.0	12.0	13.0	15.0	53.0	0.0	5.0	0.0	3.0	8.0	0.0	0.0	5.0	1030.0	32.0	26.0	8.0	3.0	3.0	5.0	15.0	20.0	0.0	14.0	22.0	5.0	321.0	13.0	3.0	26.0	212.0
pDC	0.0	11.0	2.0	0.0	4.0	0.0	0.0	3.0	0.0	43.0	0.0	2.0	7.0	10.0	3.0	64.0	6.0	24.0	31.0	3.0	10.0	0.0	0.0	98.0	39.0	16.0	2.0	0.0	2.0	3.0	6.0
stromal dividing	0.0	2.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
AT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B cell	36.0	225.0	146.0	92.0	72.0	0.0	0.0	2.0	6.0	3.0	0.0	47.0	0.0	71.0	129.0	72.0	88.0	39.0	37.0	30.0	241.0	6.0	0.0	58.0	1193.0	111.0	361.0	194.0	98.0	102.0	147.0
B cell dividing	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	15.0	0.0	0.0	3.0	0.0	0.0	0.0
Ciliated	0.0	12.0	6.0	5.0	0.0	0.0	0.0	257.0	6.0	0.0	0.0	3.0	0.0	677.0	0.0	2.0	4.0	0.0	0.0	62.0	6.0	68.0	0.0	3.0	54.0	0.0	200.0	0.0	5.0	9.0	61.0
DC mature	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	3.0	9.0	0.0	0.0	2.0	52.0	2.0	7.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	11.0	3.0	10.0	10.0	2.0	0.0	0.0	31.0
Endothelial cell arterial	0.0	3.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell capillary	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	82.0	3.0	0.0	11.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell lymphatic	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
Endothelial cell venous	12.0	117.0	110.0	6.0	37.0	0.0	0.0	0.0	17.0	9.0	0.0	62.0	9.0	38.0	0.0	12.0	19.0	16.0	17.0	14.0	12.0	3.0	2.0	103.0	0.0	2.0	6.0	3.0	2.0	10.0	18.0
Fibroblast adventitial	0.0	2.0	6.0	0.0	8.0	0.0	7.0	0.0	50.0	0.0	2.0	40.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0	5.0	2.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	11.0	0.0
Fibroblast alveolar	0.0	61.0	36.0	0.0	6.0	2.0	4.0	0.0	115.0	0.0	0.0	59.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	32.0	4.0	3.0	3.0	10.0	0.0	0.0	4.0	0.0	0.0	6.0	0.0
Fibroblast peribronchial	12.0	56.0	77.0	11.0	189.0	6.0	3.0	0.0	20.0	2.0	0.0	41.0	26.0	13.0	2.0	27.0	10.0	9.0	6.0	9.0	20.0	0.0	0.0	166.0	0.0	5.0	3.0	14.0	0.0	33.0	3.0
Macrophage	766.0	518.0	277.0	364.0	290.0	6.0	59.0	0.0	63.0	60.0	4.0	34.0	99.0	8289.0	500.0	338.0	133.0	297.0	369.0	142.0	553.0	43.0	3.0	952.0	567.0	2641.0	2214.0	148.0	123.0	189.0	2117.0
Macrophage alveolar	6.0	35.0	22.0	38.0	100.0	0.0	0.0	0.0	8.0	3.0	2.0	0.0	9.0	9400.0	17.0	10.0	93.0	203.0	201.0	52.0	108.0	5.0	0.0	95.0	14.0	17.0	1201.0	0.0	4.0	35.0	1523.0
Mast cell	45.0	63.0	50.0	30.0	180.0	3.0	21.0	5.0	63.0	52.0	0.0	74.0	28.0	42.0	15.0	26.0	8.0	72.0	71.0	22.0	148.0	35.0	6.0	147.0	67.0	12.0	50.0	9.0	0.0	51.0	178.0
Mesothelial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Monocyte classical	222.0	98.0	84.0	116.0	32.0	0.0	10.0	13.0	67.0	186.0	4.0	27.0	43.0	4204.0	74.0	124.0	69.0	217.0	242.0	63.0	93.0	26.0	0.0	698.0	207.0	813.0	259.0	76.0	185.0	97.0	247.0
Monocyte non-classical	0.0	9.0	10.0	6.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	17.0	3.0	32.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	2.0	18.0	0.0	10.0	2.0	9.0
NK cell	139.0	88.0	96.0	48.0	54.0	0.0	0.0	2.0	19.0	4.0	0.0	5.0	14.0	300.0	446.0	80.0	0.0	17.0	16.0	38.0	114.0	30.0	0.0	95.0	88.0	70.0	371.0	45.0	126.0	175.0	621.0
NK cell dividing	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	4.0	0.0	7.0	8.0	2.0	0.0	17.0
Neutrophils	2000.0	0.0	0.0	0.0	0.0	0.0	12.0	60.0	90.0	0.0	27.0	2.0	13.0	0.0	60.0	103.0	0.0	362.0	229.0	0.0	0.0	0.0	0.0	3.0	1899.0	1574.0	1444.0	74.0	0.0	0.0	2.0
Pericyte	9.0	36.0	51.0	12.0	21.0	0.0	8.0	0.0	24.0	0.0	0.0	25.0	20.0	5.0	0.0	0.0	0.0	0.0	6.0	0.0	5.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
Plasma cell	233.0	27.0	69.0	12.0	10.0	0.0	40.0	0.0	26.0	49.0	0.0	106.0	25.0	27.0	222.0	98.0	80.0	80.0	93.0	22.0	253.0	0.0	10.0	55.0	201.0	41.0	14.0	257.0	3.0	30.0	17.0
Plasma cell dividing	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	3.0	0.0	0.0
Smooth muscle cell	0.0	10.0	6.0	0.0	12.0	0.0	0.0	0.0	14.0	4.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	7.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	11.0	2.0
T cell CD4	72.0	373.0	335.0	325.0	268.0	0.0	0.0	3.0	62.0	74.0	0.0	46.0	57.0	1341.0	926.0	506.0	70.0	103.0	73.0	157.0	485.0	71.0	3.0	326.0	361.0	504.0	438.0	276.0	213.0	277.0	1085.0
T cell CD4 dividing	4.0	7.0	6.0	3.0	14.0	0.0	0.0	0.0	0.0	14.0	0.0	3.0	7.0	39.0	16.0	23.0	0.0	0.0	7.0	2.0	7.0	7.0	0.0	88.0	50.0	48.0	25.0	17.0	0.0	8.0	28.0
T cell CD8 activated	176.0	5.0	4.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	27.0	16.0	48.0	0.0	20.0	16.0	87.0	25.0	3.0	0.0	214.0	69.0	51.0	98.0	42.0	2.0	5.0	19.0
T cell CD8 dividing	2.0	31.0	36.0	12.0	7.0	0.0	0.0	0.0	3.0	32.0	0.0	0.0	4.0	21.0	10.0	47.0	0.0	0.0	0.0	2.0	32.0	5.0	0.0	14.0	48.0	16.0	14.0	39.0	6.0	14.0	21.0
T cell CD8 effector memory	212.0	257.0	272.0	204.0	159.0	0.0	0.0	0.0	37.0	17.0	0.0	54.0	62.0	353.0	648.0	410.0	2.0	30.0	31.0	58.0	317.0	43.0	3.0	236.0	402.0	275.0	338.0	94.0	34.0	255.0	531.0
T cell CD8 naive	11.0	21.0	64.0	9.0	26.0	0.0	0.0	0.0	8.0	10.0	0.0	7.0	0.0	20.0	39.0	82.0	0.0	0.0	0.0	4.0	42.0	11.0	0.0	0.0	3.0	3.0	3.0	3.0	93.0	91.0	11.0
T cell CD8 terminally exhausted	2.0	320.0	397.0	127.0	41.0	0.0	0.0	0.0	4.0	4.0	0.0	5.0	5.0	26.0	107.0	209.0	0.0	0.0	0.0	3.0	268.0	13.0	0.0	34.0	194.0	134.0	26.0	85.0	22.0	217.0	136.0
T cell NK-like	27.0	59.0	57.0	26.0	10.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	30.0	86.0	123.0	0.0	0.0	0.0	12.0	71.0	10.0	0.0	0.0	6.0	16.0	110.0	10.0	81.0	94.0	63.0
T cell regulatory	31.0	150.0	253.0	54.0	216.0	0.0	0.0	0.0	5.0	9.0	0.0	16.0	20.0	288.0	176.0	292.0	8.0	35.0	35.0	32.0	172.0	34.0	3.0	101.0	232.0	232.0	96.0	201.0	13.0	321.0	322.0
Tumor IS_Secretory	5.0	25.0	6.0	5.0	3.0	2.0	5.0	53.0	288.0	27.0	0.0	55.0	0.0	12.0	9.0	12.0	2.0	34.0	37.0	45.0	189.0	5.0	0.0	523.0	42.0	33.0	378.0	5.0	0.0	7.0	181.0
Tumor Mesothelin+_Sec	0.0	39.0	20.0	11.0	126.0	2.0	4.0	0.0	170.0	57.0	2.0	95.0	9.0	2483.0	4.0	4.0	150.0	2.0	4.0	7.0	5.0	10.0	136.0	5.0	3.0	0.0	13.0	0.0	0.0	0.0	2813.0
Tumor HP_LUAD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	255.0	0.0	0.0
Tumor EMT	0.0	5.0	11.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	23.0	0.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
Tumor ASP	469.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4828.0	0.0	0.0	0.0	3.0	28.0	0.0	0.0
Tumor Glyco+	7.0	221.0	303.0	290.0	14.0	0.0	10.0	0.0	6.0	2.0	0.0	4.0	8.0	192.0	693.0	335.0	102.0	3.0	3.0	312.0	617.0	2339.0	0.0	4.0	335.0	0.0	4.0	1449.0	4.0	315.0	362.0
Tumor ROS1+	3.0	0.0	7.0	12.0	29.0	0.0	0.0	12.0	12.0	0.0	0.0	0.0	41.0	113.0	12.0	3.0	4.0	6.0	12.0	268.0	13.0	14.0	0.0	28.0	10.0	0.0	2.0	7.0	371.0	0.0	44.0
Tumor Cycling_Epi	0.0	74.0	32.0	22.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	58.0	25.0	16.0	5.0	205.0	201.0	13.0	44.0	228.0	0.0	3.0	4.0	0.0	3.0	0.0	0.0	15.0	444.0
Tumor Plastic_AS_NE	66.0	5.0	8.0	30.0	4.0	0.0	0.0	24.0	8.0	0.0	0.0	0.0	0.0	11.0	4.0	7.0	0.0	2.0	2.0	6.0	4.0	5.0	0.0	12.0	2.0	0.0	0.0	6.0	11.0	0.0	4.0
Tumor NE_HPA	44.0	10.0	38.0	52.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	74.0	0.0	0.0	0.0	4.0	3.0	6.0	0.0	53.0	50.0	0.0	0.0	10.0	34.0	0.0	7.0
Tumor Inv_Stem	99.0	0.0	0.0	3.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	14.0	5.0	0.0	0.0	11.0	3.0	0.0	3.0	8.0	0.0	0.0	0.0
cDC1	0.0	8.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	3.0	6.0	0.0	0.0	2.0	0.0	6.0	0.0	0.0	4.0	4.0	6.0	0.0	0.0	0.0	5.0	15.0
cDC2	0.0	79.0	65.0	55.0	181.0	0.0	5.0	2.0	8.0	44.0	0.0	18.0	8.0	3086.0	39.0	69.0	25.0	36.0	26.0	16.0	29.0	23.0	0.0	54.0	28.0	104.0	45.0	3.0	0.0	42.0	1128.0
